ID,Longitude,Latitude,WAs,WP,WFe,WEc,WpH,WMg,WNa,WCa,WK,WS,SAs,SPAs,SAoAs,SAoFe,SpH,SEc,SOC,SP,Sand,Silt,Clay,Elevation,Year_Irrigation,Distance_STW,Land_type,Land_type_ID
135,89.2596,22.7962,0.087,1.075,2.92,0.54,6.9,17.3,14,78.4,3.1,0.597,17.5,5.2,10.8,2440,6.85,0.483,1.41,13.88,11.1,51.7,37.2,6,17,4,HL,1
136,89.2567,22.8024,0.135,1.647,4.62,0.56,6.95,16.8,17.4,73.4,3.2,0.584,13.4,4.06,5.72,2830,7.87,0.484,1.23,14.22,10.7,50.8,38.5,6,4,5,HL,1
137,89.192,22.7472,0.109,1.09,4.89,0.94,6.92,39.4,38.9,112.9,5.7,1.21,27.4,5.6,16.7,2400,7.66,1.865,1.42,17.17,11.1,49.8,39.2,8,16,4,HL,1
138,89.1986,22.7489,0.053,1.065,3.35,1.66,6.85,39.9,149,159.6,5.1,10.461,8.5,1.65,4.19,2840,7.86,1.923,1.19,16.23,10,50.2,39.8,7,4,25,HL,1
139,89.2198,22.7375,0.184,1.043,3.61,0.92,7.01,29.1,64.3,107.9,6.1,0.914,16.6,3.5,5.9,2200,8.13,2.397,1.16,18.13,12.4,45,42.5,7,4,5,HL,1
140,89.2397,22.7457,0.016,0.627,3.65,0.49,6.86,16.4,8.6,77.2,1.6,0.588,13,2.52,10.2,2850,8.23,1.172,1.3,19.28,12.5,45.1,42.4,7,15,8,HL,1
141,89.2523,22.752,0.101,0.992,7.92,2.79,6.58,79.2,342,307,8.8,25.032,18.6,2.88,12,2880,7.97,0.919,1.15,16.42,11.5,46.8,41.6,5,8,5,HL,1
142,89.2553,22.7785,0.016,0.308,3.53,0.65,6.81,14.1,22.7,103.4,2,2.474,9.2,2.076,3.6,2300,7.77,0.499,1.41,16.32,11.5,50.4,38.1,8,2,10,HL,1
143,89.2652,22.7854,0.035,0.756,3.9,0.5,6.84,15.2,16.3,74.4,2,0.588,9.5,1.85,6,2910,7.48,0.556,1.39,14.27,11.8,52.2,36,5,4,10,HL,1
144,89.2595,22.7988,0.013,0.216,2.98,0.49,6.88,12.2,11.3,74.9,1.6,1.294,13.6,2,3.16,2940,8.02,0.492,1.21,15.9,12.1,45.4,42.5,5,5,4,HL,1
145,89.2436,22.7948,0.021,0.489,2.61,0.56,6.91,20.2,14.4,80.2,5.4,1.02,6.7,1.75,2.2,2980,7.77,0.453,1.34,13.89,11.7,51.9,36.4,5,3,8,HL,1
146,89.2483,22.7824,0.021,0.85,2.82,0.49,6.98,13.8,11.1,76.3,1.4,0.89,10.23,1.6,5.141,2990,7.79,0.499,1.41,13.72,15.5,48.7,35.8,4,6,5,HL,1
147,89.2688,22.7203,0.081,1.372,6.56,0.61,6.84,20.7,12.8,94.7,2.8,0.765,12.3,3.96,8.7,3040,7.83,1.37,1.23,14.3,11.8,49.6,38.6,5,3,4,HL,1
148,89.2751,22.7177,0.018,0.312,3.15,0.66,6.98,16.8,15.8,99.1,1.7,1.302,10.8,1.65,3.5,2340,8.41,1.489,1.23,16.99,11.4,45.7,42.9,5,2,4,HL,1
149,89.2783,22.7022,0.148,1.247,5.44,1.62,6.96,57.7,149.9,143.5,8.6,5.936,18.8,3.42,9.849,3060,7.38,1.473,1.76,13.81,16.5,43,40.5,3,4,5,MHL,2
150,89.2864,22.7123,0.074,0.808,2.58,0.78,7.12,48.9,22.4,89.4,6.4,1.459,15.5,2.88,6.4,3680,8.23,1.463,1.4,17.57,10.9,48.7,40.4,4,6,4,HL,1
151,89.1632,22.7967,0.117,1.204,5.61,0.51,7,32.5,32.3,115.6,4.2,0.993,11.4,1.85,7,3100,8.27,1.394,1.13,17.27,9.1,48.6,42.4,5,2,4,HL,1
152,89.1364,22.784,0.186,1.187,5.59,1.06,6.97,40.3,62.4,119.5,5.5,1.149,19.2,6.59,8.5,3200,7.98,0.797,1.64,17.77,12,42.4,45.6,3,5,6,MHL,2
153,89.139,22.7855,0.105,0.905,5.79,0.93,6.92,28.9,52.6,107,4.1,0.919,20.1,5.029,11.9,3220,8.19,0.859,1.42,18.65,10.7,49.2,40.1,4,6,8,MHL,2
154,89.1311,22.7954,0.038,0.792,5.69,0.74,6.78,26.2,26.5,98.2,4.3,0.836,15.8,6.4,8.201,3340,8.09,0.786,1.34,14.86,11.8,47,41.2,4,4,5,HL,1
155,89.1134,22.8178,0.125,1.095,6.3,0.68,6.87,28.3,11.6,92.2,5,0.749,8,2.8,3.4,3360,8.16,0.703,1.32,15.37,11.9,47.3,40.8,4,7,15,HL,1
156,89.1216,22.8175,0.042,0.893,7.32,0.68,6.8,23.4,18.6,96.4,4.1,0.825,14.7,1.2,7.596,3400,8.29,0.841,1.41,18.25,10.5,47.9,41.6,4,3,4,HL,1
157,89.1283,22.728,0.109,0.876,6.36,0.86,6.89,29.7,34.6,120.6,4.3,0.99,12.6,4.22,4.37,3180,8.02,1.459,1.58,16.54,12.9,42.6,44.4,2,4,7,MHL,2
158,89.127,22.8179,0.043,0.814,8.05,0.67,6.73,20.8,12,95.4,4.2,0.797,11.2,3.6,7.5,2990,7.89,0.963,1.23,15.63,11.1,49.5,39.5,5,2,5,HL,1
159,89.1507,22.7921,0.02,0.666,6.63,0.71,6.75,20.4,14.8,99.2,2.8,0.848,8.8,1.7,5.45,3740,8.18,1.241,1.36,16.96,10.5,48,41.4,4,1,6,HL,1
160,89.1498,22.7711,0.118,1.36,6.63,1.095,7.02,38.5,88.7,107.4,7.3,0.914,17.4,4.065,9.44,4010,8.3,1.057,1.35,10.44,8.7,16.3,75,3,6,10,MHL,2
161,89.1478,22.773,0.114,0.8,5.74,1.076,7.04,35.2,85.6,129.9,6.4,1.079,17.5,3.841,10.34,4940,8.15,1.032,1.78,10.77,8.3,26.7,65,3,8,15,MHL,2
162,89.144,22.7818,0.094,0.79,5.79,0.979,6.98,28.6,70.2,106,4.9,0.971,23.5,5.341,11.92,2870,8.45,0.949,1.07,11.2,7.8,42.2,50,8,8,20,MHL,2
163,89.1432,22.7798,0.134,0.83,4.96,1.089,7.01,24.7,87.7,113.2,4.8,1.107,15.8,4.356,7.64,1900,8.4,0.918,1.13,8.17,10.4,30.9,58.7,3,5,15,MHL,2
164,89.1388,22.7912,0.123,0.72,5.85,1.044,6.99,27.8,80.5,118.1,5.6,1.204,18.7,4.579,12.68,4000,8.31,0.924,1.7,11.53,10.3,29.7,60,8,7,15,HL,1
165,89.1374,22.7825,0.166,1.07,4.62,1.089,7.1,34.3,70,126.4,5.1,1.069,26.3,5.126,13.14,2200,8.2,0.809,1.99,11.31,9.1,28.4,62.5,4,12,15,MHL,2
166,89.1293,22.7923,0.182,1.01,6.18,0.992,7.03,40.8,72.3,122.2,5.7,0.991,27.9,8.265,14.53,1780,8.37,0.719,1.37,17.81,11.1,48.9,40,6,10,15,HL,1
167,89.1247,22.7672,0.146,1.24,5.96,0.955,7.03,35.9,89,122.8,4.2,1.052,30.7,8.235,16.04,2330,8.28,0.79,1.4,25.61,23.7,31.8,44.5,5,13,10,MHL,2
168,89.1434,22.7741,0.252,1.23,7.09,1.101,7.06,32.3,110,109.1,6.6,0.952,26.5,7.87,15.65,1450,8.29,0.929,1.4,12.39,11.2,26.8,62,8,8,10,MHL,2
169,89.1451,22.7545,0.135,1.04,4.22,1.22,7.08,39.9,108.6,110.4,7.6,0.972,18.3,4.831,10.31,2490,8.4,1.261,1.48,13.04,11.6,47.6,40.8,6,4,10,MHL,2
170,89.1471,22.7501,0.125,0.72,5.27,1.422,7.05,32.2,211,149,5.6,2.01,26.4,7.709,16.08,3600,8.12,1.347,2.6,10.88,13,34.2,52.8,3,14,15,MHL,2
171,89.1412,22.7449,0.205,1.53,4.85,1.041,7.07,30.6,80.1,108.7,5.2,1.224,16.3,6.262,12.68,4800,7.65,1.318,2.19,8.06,10.9,35.5,53.6,2,6,10,MHL,2
