"id.layer_local_c","dataset.code_ascii_txt","id.layer_uuid_txt","acidity_usda.a795_cmolc.kg","aggstb_usda.a1_w.pct","al.dith_usda.a65_w.pct","al.ext_aquaregia_g.kg","al.ext_usda.a1056_mg.kg","al.ext_usda.a69_cmolc.kg","al.ox_usda.a59_w.pct","awc.33.1500kPa_usda.c80_w.frac","b.ext_mel3_mg.kg","bd_usda.a4_g.cm3","c.tot_usda.a622_w.pct","ca.ext_aquaregia_mg.kg","ca.ext_usda.a1059_mg.kg","ca.ext_usda.a722_cmolc.kg","caco3_usda.a54_w.pct","cec_usda.a723_cmolc.kg","cf_usda.c236_w.pct","clay.tot_usda.a334_w.pct","cu.ext_usda.a1063_mg.kg","ec_usda.a364_ds.m","efferv_usda.a479_class","fe.dith_usda.a66_w.pct","fe.ext_aquaregia_g.kg","fe.ext_usda.a1064_mg.kg","fe.ox_usda.a60_w.pct","k.ext_aquaregia_mg.kg","k.ext_usda.a1065_mg.kg","k.ext_usda.a725_cmolc.kg","mg.ext_aquaregia_mg.kg","mg.ext_usda.a1066_mg.kg","mg.ext_usda.a724_cmolc.kg","mn.ext_aquaregia_mg.kg","mn.ext_usda.a1067_mg.kg","mn.ext_usda.a70_mg.kg","n.tot_usda.a623_w.pct","na.ext_aquaregia_mg.kg","na.ext_usda.a1068_mg.kg","na.ext_usda.a726_cmolc.kg","oc_usda.c729_w.pct","p.ext_aquaregia_mg.kg","p.ext_usda.a1070_mg.kg","p.ext_usda.a270_mg.kg","p.ext_usda.a274_mg.kg","ph.cacl2_usda.a481_index","ph.h2o_usda.a268_index","s.ext_mel3_mg.kg","s.tot_usda.a624_w.pct","sand.tot_usda.c60_w.pct","silt.tot_usda.c62_w.pct","wr.10kPa_usda.a414_w.pct","wr.1500kPa_usda.a417_w.pct","wr.33kPa_usda.a415_w.pct","zn.ext_usda.a1073_mg.kg","p.ext_usda.a652_mg.kg"
"68354","KSSL.SSL","820235fd4e6f1e3750d65b11e5d20229",NA,NA,0.03431,NA,45.47709,NA,0.07459,0.1189,NA,1.4535,2.43541,NA,11246.33625,65.0224,15.60204,18.60471,7,32.85861,3.07624,0.222,"violent",0.60226,NA,30.94698,0.03822,NA,200.23251,0.56946,NA,182.80048,1.67013,NA,134.07283,NA,0.05228,NA,14.78646,0,0.568,NA,5.68079,0.15357,NA,7.54,8.14,NA,0,32.6,34.5,NA,13.09524,21.28117,2.1021,NA
"50030","KSSL.SSL","8231dcb529a56bd1e288f36c85f063b0",3.6292,NA,0.00705,NA,128.46546,NA,0.02716,0.08008,NA,1.04045,0.91196,NA,163.04085,0.68964,NA,13.08182,28,16.34317,0.41112,0.115,"none",2.4227,NA,220.34103,0.4255,NA,32.06754,0.04756,NA,1652.09523,12.12814,NA,93.407,NA,0.04724,NA,7.93466,0.04756,0.91,NA,0.99697,NA,NA,6.87,7.41,NA,0.0113,68.9,14.8,37.65871,26.22378,33.88009,0.47279,NA
"49679","KSSL.SSL","82574c9fc90ae22b6d64bb496a33b08a",5.62948,NA,0.32629,NA,1114.24998,0.42209,NA,NA,NA,NA,0.22591,NA,185.63922,0.53397,NA,2.86303,2,31.99974,0.22252,NA,"none",3.17863,NA,57.33838,NA,NA,37.58501,0.14801,NA,36.0274,0.12037,NA,107.98105,1.63014,0.0385,NA,5.74496,0,0.23,NA,2.07345,NA,NA,4.79,5.54,NA,0,53.4,14.6,NA,13.42155,NA,0.20229,NA
"68351","KSSL.SSL","8310f2007326549aed74c5b81ad25fc8",5.85039,NA,0.09134,NA,977.64085,NA,0.13077,0.12604,NA,1.37365,0.46249,NA,2649.54141,14.04454,NA,20.5503,0,29.85404,2.99559,0.068,"none",0.86907,NA,152.09821,0.2324,NA,311.00832,0.89978,NA,626.80754,6.07469,NA,93.07885,NA,0.09024,NA,33.35163,0,0.46,NA,29.91491,24.21324,NA,5.92,6.66,NA,0,5.6,64.5,NA,14.18605,23.40807,1.51831,NA
"49657","KSSL.SSL","83ce8f6b88096c7398eb47e3f5b92a07",4.75919,NA,0.18498,NA,962.24932,1.94138,NA,NA,NA,NA,0.06075,NA,28.02452,0,NA,3.09831,5,20.04328,0.12136,NA,"none",3.1846,NA,15.71638,NA,NA,10.39668,0.12396,NA,0.62704,0,NA,0.73829,0.03218,0,NA,5.6939,0,0.06,NA,0.92033,NA,NA,4.32,4.63,NA,0.01823,56.4,23.6,NA,13.00505,NA,0.14159,NA
"36972","KSSL.SSL","8568567a101f3c4bcfd8a55a67a1de04",NA,NA,0.05124,NA,360.94598,NA,NA,NA,NA,NA,5.21296,NA,15793.61512,131.36789,9.83018,22.11485,0.43634,22.87177,2.43174,3.165,"strong",0.43463,NA,74.48316,NA,NA,870.33926,2.17515,NA,2731.51344,18.62768,NA,129.94195,NA,0.34065,NA,147.3019,0.61054,3.8172,NA,127.43831,NA,NA,8.015,8.08,NA,1.34008,33.1,44.2,NA,14.60692,31.96346,5.94599,NA
"36284","KSSL.SSL","866e0cdff115b9e282cfd31be07d36ad",NA,NA,0.01147,NA,4.79941,NA,NA,0.18354,NA,1.14309,0.51228,NA,17782.1658,271.8976,3.95272,2.08445,13,12.51644,0.10129,2.365,"strong",0,NA,13.08602,NA,NA,33.07734,0.11693,NA,1002.44072,6.53081,NA,8.05742,NA,0.02734,NA,60.30433,0.2107,0.046,NA,20.64847,NA,NA,8.04,8.105,NA,15.22323,53.9,32,NA,4.49811,20.5954,0.64324,NA
"49661","KSSL.SSL","8723028272f9d77c66e3394ef926f134",5.01019,NA,0.43205,NA,999.89007,NA,NA,NA,NA,NA,0.18007,NA,134.84133,0.17778,NA,1.89757,2,38.63622,0.2127,NA,"none",6.8606,NA,18.8391,NA,NA,16.66146,0.03065,NA,18.52511,0.09093,NA,0.69887,NA,0.02833,NA,4.87183,0,0.18,NA,0.6381,NA,NA,5.505,5.49,NA,0.02023,46.5,14.9,NA,15.98465,NA,0.15193,NA
"68336","KSSL.SSL","87b14aec769cb1bff96d352716b436c3",2.7455,NA,0.07158,NA,654.72348,NA,0.09772,0.12516,NA,1.48521,0.64023,NA,3204.97818,19.58597,1.36663,19.94858,0,26.01034,4.4422,0.487,"very slight",0.91032,NA,316.7373,0.3188,NA,240.38053,0.68966,NA,877.15095,8.63104,NA,246.96195,NA,0.06556,NA,70.62489,0,0.4756,NA,33.02993,16.81019,NA,7.38,7.73,NA,0,3.5,70.5,NA,14.33628,22.70048,3.02971,NA
"49633","KSSL.SSL","880618067ba2e513c132e24896b64795",8.27781,NA,0.35213,NA,767.36328,1.76716,NA,NA,NA,NA,0.09788,NA,36.47367,0,NA,5.95975,3,42.29806,0.5196,NA,"none",5.87357,NA,36.6265,NA,NA,29.88192,0.24552,NA,128.68686,1.10483,NA,2.62855,0.1247,0.02039,NA,11.97111,0,0.1,NA,0.62148,NA,NA,4.46,5.22,NA,0.00408,32.3,25.4,NA,18.4595,NA,0.30565,NA
