SEASON,ENV,SOWING,GEN,N_RATE,DATE_SOW,Optimum_date,DAYS, GY ,STY,Maturity_days,Weeding,Weeding_No,Irrigation,Irrigation_No,FARMER
Rabi 12-13,UJIRPUR,LATE,BG 27,67,12/25/2012,12/15/2012,10,1.568,1.3498,94,1,1 weeding,1,1 irrigation,86
Rabi 12-13,UJIRPUR,LATE,BG 25,67,12/25/2012,12/15/2012,10,2.091,1.688266667,95,1,1 weeding,1,1 irrigation,86
Rabi 12-13,UJIRPUR,LATE,BG 21,67,12/25/2012,12/15/2012,10,2.218,2.0604,95,1,1 weeding,1,1 irrigation,86
Rabi 12-13,UJIRPUR,LATE,BG 27,100,12/25/2012,12/15/2012,10,1.865,1.5645,94,1,1 weeding,1,1 irrigation,86
Rabi 12-13,UJIRPUR,LATE,BG 25,100,12/25/2012,12/15/2012,10,2.382,2.4815,94,1,1 weeding,1,1 irrigation,86
Rabi 12-13,UJIRPUR,LATE,BG 21,100,12/25/2012,12/15/2012,10,1.299,1.3311,95,1,1 weeding,1,1 irrigation,86
Rabi 12-13,UJIRPUR,LATE,BG 27,0,12/17/2012,12/15/2012,2,0.93,1.3536,100,1,1 weeding,1,1 irrigation,85
Rabi 12-13,UJIRPUR,LATE,BG 25,0,12/17/2012,12/15/2012,2,1.464,1.248,98,1,1 weeding,1,1 irrigation,85
Rabi 12-13,UJIRPUR,LATE,BG 21,0,12/17/2012,12/15/2012,2,1.111,1.4212,99,1,1 weeding,1,1 irrigation,85
Rabi 12-13,UJIRPUR,LATE,BG 27,67,12/17/2012,12/15/2012,2,3.302,2.0604,101,1,1 weeding,1,1 irrigation,85
Rabi 12-13,UJIRPUR,LATE,BG 25,67,12/17/2012,12/15/2012,2,4.05,3.484,102,1,1 weeding,1,1 irrigation,85
Rabi 12-13,UJIRPUR,LATE,BG 21,67,12/17/2012,12/15/2012,2,3.989,3.4442,102,1,1 weeding,1,1 irrigation,85
Rabi 12-13,UJIRPUR,LATE,BG 27,100,12/17/2012,12/15/2012,2,3.477,2.63,101,1,1 weeding,1,1 irrigation,85
Rabi 12-13,UJIRPUR,LATE,BG 25,100,12/17/2012,12/15/2012,2,4.154,3.8736,101,1,1 weeding,1,1 irrigation,85
Rabi 12-13,UJIRPUR,LATE,BG 21,100,12/17/2012,12/15/2012,2,2.757,2.854933333,102,1,1 weeding,1,1 irrigation,85
Rabi 12-13,UJIRPUR,LATE,BG 27,0,12/17/2012,12/15/2012,2,0.974,1.2355,99,1,1 weeding,1,1 irrigation,84
Rabi 12-13,UJIRPUR,LATE,BG 25,0,12/17/2012,12/15/2012,2,0.869,1.218,97,1,1 weeding,1,1 irrigation,84
Rabi 12-13,UJIRPUR,LATE,BG 21,0,12/17/2012,12/15/2012,2,0.963,1.151333333,98,1,1 weeding,1,1 irrigation,84
Rabi 12-13,UJIRPUR,LATE,BG 27,67,12/17/2012,12/15/2012,2,3.511,2.39,100,1,1 weeding,1,1 irrigation,84
Rabi 12-13,UJIRPUR,LATE,BG 25,67,12/17/2012,12/15/2012,2,3.835,44.53362038,101,1,1 weeding,1,1 irrigation,84
Rabi 12-13,UJIRPUR,LATE,BG 21,67,12/17/2012,12/15/2012,2,4.655,4.4132,101,1,1 weeding,1,1 irrigation,84
Rabi 12-13,UJIRPUR,LATE,BG 27,100,12/17/2012,12/15/2012,2,3.929,3.262,100,1,1 weeding,1,1 irrigation,84
Rabi 12-13,UJIRPUR,LATE,BG 21,100,12/17/2012,12/15/2012,2,3.687,2.3647,101,1,1 weeding,1,1 irrigation,84
Rabi 12-13,UJIRPUR,EARLY,BG 27,0,12/5/2012,12/15/2012,-10,0.919,0.987,109,1,1 weeding,1,1 irrigation,83
Rabi 12-13,UJIRPUR,EARLY,BG 25,0,12/5/2012,12/15/2012,-10,1.276,1.3124,107,1,1 weeding,1,1 irrigation,83
Rabi 12-13,UJIRPUR,EARLY,BG 21,0,12/5/2012,12/15/2012,-10,1.056,1.234133333,108,1,1 weeding,1,1 irrigation,83
Rabi 12-13,UJIRPUR,EARLY,BG 27,100,12/5/2012,12/15/2012,-10,3.703,2.5025,107,1,1 weeding,1,1 irrigation,83
Rabi 12-13,UJIRPUR,EARLY,BG 25,100,12/5/2012,12/15/2012,-10,3.873,2.946666667,108,1,1 weeding,1,1 irrigation,83
Rabi 12-13,UJIRPUR,EARLY,BG 21,100,12/5/2012,12/15/2012,-10,3.843,3.1977,108,1,1 weeding,1,1 irrigation,83
Rabi 12-13,UJIRPUR,EARLY,BG 27,133,12/5/2012,12/15/2012,-10,4.38,4.062933333,107,1,1 weeding,1,1 irrigation,83
Rabi 12-13,UJIRPUR,EARLY,BG 25,133,12/5/2012,12/15/2012,-10,4.448,4.6801,107,1,1 weeding,1,1 irrigation,83
Rabi 12-13,UJIRPUR,EARLY,BG 21,133,12/5/2012,12/15/2012,-10,3.901,3.7135,108,1,1 weeding,1,1 irrigation,83
Rabi 12-13,UJIRPUR,EARLY,BG 27,0,12/10/2012,12/15/2012,-5,1.211,1.365,105,1,1 weeding,1,1 irrigation,82
Rabi 12-13,UJIRPUR,EARLY,BG 25,0,12/10/2012,12/15/2012,-5,1.045,1.105,103,1,1 weeding,1,1 irrigation,82
Rabi 12-13,UJIRPUR,EARLY,BG 21,0,12/10/2012,12/15/2012,-5,0.842,1.1984,104,1,1 weeding,1,1 irrigation,82
Rabi 12-13,UJIRPUR,EARLY,BG 27,100,12/10/2012,12/15/2012,-5,4.919,3.9202,104,1,1 weeding,1,1 irrigation,82
Rabi 12-13,UJIRPUR,EARLY,BG 25,100,12/10/2012,12/15/2012,-5,4.11,3.25675,105,1,1 weeding,1,1 irrigation,82
Rabi 12-13,UJIRPUR,EARLY,BG 21,100,12/10/2012,12/15/2012,-5,4.259,4.0664,105,1,1 weeding,1,1 irrigation,82
