ID,A_LabID,SiteID,StateID,Longitude,Latitude,Landcover,Tota_C,Organic_C,BD,Clay,Sand,pH
1989,C-338268,5593,MN,-94.12,47.4429,Forested Upland,2.07,2.07,1358.00,9.53,60.14,59.95
1990,C-339103,5595,AZ,-110.6183,36.1669,Shrubland,0.37,0.30,1451.25,19.37,58.00,82.00
1991,C-320778,5596,WV,-81.9172,37.8087,Forested Upland,3.74,3.74,1376.70,19.86,29.68,55.00
1992,C-355958,5599,CA,-120.6322,41.5063,Forested Upland,0.55,0.55,1151.13,34.07,35.85,68.00
1993,C-326174,5600,FL,-82.2066,28.2093,Planted/Cultivated,1.89,1.89,1401.58,1.95,81.05,52.78
1994,C-311163,5608,MO,-93.8694,40.348,Planted/Cultivated,2.13,2.13,1382.05,39.20,19.10,58.39
1995,C-319643,5611,CO,-104.5716,38.4333,Herbaceous Upland,1.31,0.90,1437.81,37.08,25.71,82.81
1996,C-351237,5612,IN,-86.8956,38.4209,Planted/Cultivated,1.14,1.14,1470.18,18.99,21.47,55.72
1997,C-335442,5614,MT,-112.6626,46.128,Herbaceous Upland,5.02,5.02,1195.12,18.76,47.24,68.86
1998,C-326084,5615,NM,-105.0836,32.1414,Shrubland,3.52,1.10,1246.25,41.00,33.11,82.00
1999,C-300465,5620,NY,-74.0015,41.4234,Planted/Cultivated,7.48,7.48,1375.48,9.67,48.71,52.85
2000,C-358478,5623,CA,-114.784,33.62,Barren,0.57,0.20,1392.11,25.38,53.44,82.44
2001,C-357396,5624,TX,-96.8742,33.713,Planted/Cultivated,1.04,1.04,1464.66,34.23,28.45,61.00
2002,C-353277,5626,OR,-123.0593,42.8298,Forested Upland,2.99,2.99,1170.13,18.00,41.98,56.15
2003,C-319686,5627,CO,-106.9423,40.438,Shrubland,3.23,3.23,1286.51,29.48,19.96,67.07
2004,C-300457,5628,NY,-77.0448,42.4512,Planted/Cultivated,3.48,3.48,1335.09,20.36,22.91,60.13
2005,C-312460,5640,AR,-92.1279,35.6682,Forested Upland,2.75,2.75,1403.06,23.91,28.14,53.01
2006,C-351838,5643,AZ,-111.5487,31.5418,Shrubland,0.66,0.66,1338.06,38.02,42.40,73.00
2007,C-312439,5644,AR,-91.0489,35.1942,Planted/Cultivated,1.43,1.43,1471.69,20.64,5.13,53.58
2008,C-348444,5646,OR,-118.5048,44.2103,Forested Upland,3.23,3.23,1069.08,23.49,30.39,62.06
2009,C-320336,5647,NV,-116.2189,41.6001,Shrubland,2.91,2.91,1225.41,34.71,30.90,70.90
2010,C-351238,5648,IN,-87.4916,40.406,Planted/Cultivated,3.32,3.00,1413.80,27.45,16.00,62.90
2011,C-306797,5659,NE,-101.6231,40.7373,Herbaceous Upland,0.50,0.50,1571.72,4.64,92.16,70.49
2012,C-355959,5663,CA,-121.9183,37.5301,Planted/Cultivated,1.78,1.78,1421.32,28.00,32.75,70.00
2013,C-328050,5664,GA,-84.113,31.8164,Planted/Cultivated,0.70,0.70,1525.91,19.89,66.83,55.44
2014,C-300474,5665,VT,-73.302,44.8661,Forested Upland,0.14,0.14,1274.94,12.08,46.89,59.94
2015,C-326391,5672,OK,-95.8338,36.0495,Planted/Cultivated,0.96,0.96,1425.66,25.95,18.92,60.51
2016,C-299959,5673,ME,-70.7638,45.1295,Forested Upland,6.00,6.00,1070.47,5.68,65.94,49.56
2017,C-319564,5675,CO,-108.7264,37.8203,Forested Upland,2.19,2.19,1360.17,24.08,35.55,63.76
2018,C-328308,5676,SC,-80.802,34.468,Forested Upland,3.00,3.00,1451.46,41.36,35.46,52.65
2019,C-337987,5678,MT,-107.3974,45.4398,Planted/Cultivated,2.28,2.28,1272.29,32.42,28.13,79.85
2020,C-320510,5679,NV,-114.9368,36.4167,Shrubland,4.38,1.10,1382.36,14.19,58.91,84.00
2021,C-355123,5685,WI,-91.8091,45.609,Forested Upland,1.48,1.48,1420.59,7.02,65.55,53.61
2022,C-314110,5688,LA,-93.4248,30.2926,Planted/Cultivated,2.12,2.12,1485.31,19.89,23.44,53.83
2023,C-313222,5691,UT,-110.9449,40.6346,Forested Upland,10.60,10.60,1241.74,14.19,48.93,58.46
2024,C-364462,5692,PA,-80.1268,41.1868,Forested Upland,10.50,10.50,1467.40,13.42,38.22,50.35
2025,C-337988,5694,MT,-106.3407,47.4722,Herbaceous Upland,2.60,2.00,1343.99,27.51,19.64,82.24
2026,C-357346,5695,TX,-100.1685,32.2937,Planted/Cultivated,1.17,1.10,1406.10,45.97,18.08,75.04
2027,C-354807,5697,MI,-83.1984,43.9353,Herbaceous Upland,2.27,1.20,1552.18,21.57,29.93,68.41
2028,C-311164,5704,MO,-91.1225,36.7021,Forested Upland,1.35,1.35,1393.47,23.73,25.79,50.28
2029,C-314052,5708,LA,-91.9837,32.83,Forested Upland,2.11,2.11,1415.66,22.22,17.87,52.91
2030,C-335224,5710,ID,-115.8241,46.6652,Forested Upland,4.73,4.73,1103.18,7.12,28.09,59.97
2031,C-320453,5711,NV,-118.5904,40.6216,Shrubland,0.91,0.91,1389.22,12.50,49.66,84.10
2032,C-354808,5712,MI,-83.7828,42.2371,Herbaceous Upland,1.03,1.03,1531.14,25.39,26.77,64.49
2033,C-326138,5716,NM,-108.4558,32.5287,Shrubland,0.18,0.18,1349.06,36.00,47.49,69.60
2034,C-323493,5721,ND,-99.3652,48.3756,Planted/Cultivated,3.15,2.40,1304.05,26.97,35.54,77.00
2035,C-319631,5723,CO,-105.6432,40.3112,Forested Upland,21.80,21.80,1427.09,5.20,72.21,54.59
2036,C-357347,5724,TX,-96.9207,29.8837,Planted/Cultivated,0.75,0.75,1570.78,23.18,50.69,67.13
2037,C-355960,5727,CA,-123.332,39.237,Forested Upland,1.05,1.05,1246.52,26.46,30.54,57.27
2038,C-328012,5728,GA,-82.47,33.8277,Forested Upland,1.58,1.58,1442.35,35.59,39.14,52.50
2039,C-355124,5736,WI,-91.5946,44.6106,Herbaceous Upland,0.93,0.93,1399.42,9.65,45.70,58.03
2040,C-300447,5737,NY,-73.4509,43.4463,Forested Upland,3.78,2.50,1320.12,13.27,49.12,58.14
2041,C-310302,5739,KS,-101.3438,37.3515,Planted/Cultivated,1.23,1.23,1358.20,27.74,17.00,76.00
2042,C-352638,5740,TN,-84.4468,35.2766,Forested Upland,17.50,17.50,1373.71,25.67,44.38,50.38
2043,C-335443,5742,MT,-109.1403,48.9402,Shrubland,1.18,1.18,1373.93,33.77,42.99,74.52
2044,C-357348,5752,TX,-99.2643,33.9474,Planted/Cultivated,0.86,0.86,1460.59,27.08,38.67,75.08
2045,C-335225,5755,ID,-111.3576,43.1721,Forested Upland,3.39,3.39,1379.18,38.90,14.47,66.80
2046,C-320764,5756,WV,-79.9936,39.5635,Herbaceous Upland,2.40,2.40,1317.68,27.34,19.58,50.33
2047,C-323090,5758,ND,-100.4426,46.0772,Herbaceous Upland,1.52,1.52,1295.10,19.52,50.73,77.00
2048,C-359125,5759,TX,-100.1738,34.4657,Herbaceous Upland,0.35,0.35,1438.94,28.32,36.30,74.00
2049,C-311270,5768,MO,-93.894,38.751,Planted/Cultivated,2.36,2.36,1356.92,33.00,6.41,60.57
2050,C-338698,5771,SD,-102.7698,44.0593,Herbaceous Upland,1.67,1.67,1384.28,36.67,31.00,73.00
2051,C-312491,5772,AR,-93.877,33.3593,Developed,1.66,1.66,1537.40,14.56,48.00,51.35
2052,C-354210,5774,WA,-118.5572,47.5049,Shrubland,0.67,0.67,1220.87,13.87,23.15,70.98
2053,C-335226,5775,ID,-114.6612,42.4186,Shrubland,1.00,1.00,1224.10,21.11,30.20,78.00
2054,C-329075,5776,AL,-87.3015,32.9087,Forested Upland,0.62,0.62,1407.10,32.00,40.42,53.00
2055,C-325751,5780,NM,-107.0404,34.0171,Shrubland,1.29,1.29,1281.60,20.34,62.34,80.07
2056,C-310127,5784,KS,-95.6774,38.6749,Herbaceous Upland,2.80,2.80,1307.27,35.51,11.45,64.68
2057,C-338271,5785,MN,-94.0699,46.77,Forested Upland,1.99,1.99,1428.41,9.43,56.61,55.69
2058,C-319563,5787,CO,-108.2595,37.9791,Forested Upland,3.96,3.96,1350.44,28.03,32.55,65.85
2059,C-352045,5788,NC,-77.4192,35.7456,Forested Upland,21.90,21.90,1387.55,19.38,45.86,48.78
2060,C-320444,5791,NV,-119.3395,40.8373,Shrubland,0.48,0.48,1389.57,19.43,40.19,80.00
2061,C-328695,5792,FL,-82.497,29.5416,Forested Upland,0.68,0.68,1410.62,7.99,77.64,52.67
2062,C-348653,5800,IL,-90.4378,40.8614,Planted/Cultivated,2.01,2.01,1382.96,27.44,1.44,53.06
2063,C-310151,5803,KS,-101.7538,38.0062,Planted/Cultivated,1.73,1.20,1347.13,33.36,18.29,79.64
2064,C-350402,5804,KY,-83.6147,38.177,Forested Upland,4.11,4.11,1410.63,23.55,18.13,55.86
2065,C-335444,5806,MT,-113.8393,48.6509,Forested Upland,3.22,3.22,968.35,6.53,50.00,58.20
2066,C-343385,5807,AZ,-112.6981,36.0908,Shrubland,3.15,1.10,1379.25,19.36,55.20,78.00
2067,C-351583,5815,AZ,-112.596,33.6593,Shrubland,0.24,0.24,1459.66,20.83,56.12,81.77
2068,C-357349,5816,TX,-98.1548,32.9767,Planted/Cultivated,1.06,1.06,1491.21,35.23,37.07,70.75
2069,C-354211,5818,WA,-121.9288,47.5211,Developed,3.02,3.02,1058.24,8.91,64.69,51.63
2070,C-318471,5819,WY,-108.6802,42.5287,Herbaceous Upland,1.67,1.67,1341.35,19.60,50.77,69.27
2071,C-350671,5820,VA,-76.8468,37.7525,Forested Upland,1.31,1.31,1486.23,19.25,58.83,51.80
2072,C-337989,5822,MT,-105.6042,45.3104,Herbaceous Upland,2.87,2.80,1419.85,30.89,35.61,76.45
2073,C-318445,5835,WY,-104.4031,43.3297,Herbaceous Upland,1.07,1.07,1354.86,23.93,59.34,76.00
2074,C-314070,5836,LA,-91.2951,32.7945,Forested Upland,3.66,3.66,1331.08,45.29,6.00,58.35
2075,C-355963,5839,CA,-119.2799,35.0588,Shrubland,0.66,0.50,1425.76,15.19,57.40,80.96
2076,C-328189,5840,GA,-85.0364,32.8565,Planted/Cultivated,1.85,1.80,1462.87,23.83,47.99,56.00
2077,C-351839,5844,AZ,-110.6783,33.5604,Forested Upland,0.25,0.25,1352.51,39.40,30.82,67.00
2078,C-310052,5848,KS,-98.8945,38.1663,Planted/Cultivated,1.06,1.06,1501.40,21.65,43.99,65.00
2079,C-339104,5851,AZ,-109.0773,36.1781,Shrubland,1.06,1.06,1274.79,27.00,37.47,74.46
2080,C-320791,5852,WV,-80.6321,38.0666,Forested Upland,3.24,3.24,1170.68,21.81,35.30,47.56
2081,C-335445,5854,MT,-116.0026,48.7846,Forested Upland,5.66,5.66,911.62,5.00,36.42,56.14
2082,C-320411,5855,NV,-114.7715,37.6974,Shrubland,1.63,0.60,1401.17,15.52,56.99,85.00
2083,C-326057,5856,FL,-81.1299,27.8086,Herbaceous Upland,0.09,0.09,1345.86,3.85,80.15,51.12
2084,C-348934,5864,IA,-91.9454,41.4439,Planted/Cultivated,2.39,2.39,1398.91,31.43,5.18,57.03
2085,C-319696,5867,CO,-105.3156,37.1844,Herbaceous Upland,1.05,1.05,1243.36,19.95,41.33,72.39
2086,C-351239,5868,IN,-86.0714,38.2296,Planted/Cultivated,4.86,4.86,1426.61,32.01,4.40,53.20
2087,C-318459,5870,WY,-110.0968,44.9202,Forested Upland,2.06,2.06,1184.89,10.50,52.37,63.72
2088,C-359126,5871,TX,-103.8107,31.689,Shrubland,0.34,0.10,1365.77,18.56,38.15,80.72
2089,C-348805,5876,IL,-88.7798,37.762,Planted/Cultivated,1.47,1.40,1482.66,21.60,10.94,54.52
2090,C-337068,5880,OK,-97.2121,34.5768,Planted/Cultivated,0.39,0.39,1455.24,19.48,49.84,62.86
2091,C-353278,5882,OR,-120.1711,45.2231,Shrubland,1.23,1.23,1194.41,20.70,16.26,70.48
2092,C-313220,5883,UT,-112.5366,40.3389,Shrubland,3.60,3.20,1295.13,26.99,27.30,76.40
2093,C-349967,5884,OH,-82.6723,39.3215,Forested Upland,7.95,7.95,1392.07,24.90,13.71,54.79
2094,C-311248,5896,MO,-93.1915,37.2056,Planted/Cultivated,2.12,2.12,1442.04,22.97,15.00,56.32
2095,C-337062,5900,MS,-89.6252,34.6704,Developed,1.37,1.37,1457.69,25.55,11.40,51.67
2096,C-353279,5902,OR,-116.9443,45.8517,Forested Upland,1.71,1.71,1107.20,19.49,19.82,61.26
2097,C-348434,5903,OR,-117.7884,43.2953,Shrubland,0.99,0.99,1198.01,37.24,25.24,77.92
2098,C-351240,5904,IN,-85.8339,39.6553,Planted/Cultivated,3.31,2.60,1474.54,27.00,15.27,62.99
2099,C-343338,5912,IA,-94.4328,40.5964,Planted/Cultivated,1.89,1.89,1304.18,36.64,8.18,61.48
2100,C-323352,5913,SD,-99.4268,45.6614,Herbaceous Upland,1.88,1.88,1246.70,25.63,37.56,74.83
2101,C-322917,5915,NE,-101.907,42.7641,Herbaceous Upland,0.64,0.64,1475.25,7.44,74.64,74.00
2102,C-354212,5918,WA,-122.2079,47.7632,Planted/Cultivated,3.36,3.36,1263.36,4.82,72.23,55.39
2103,C-355964,5919,CA,-122.2172,41.2724,Forested Upland,5.15,5.15,1015.95,8.78,69.63,60.41
2104,C-328918,5920,AL,-87.273,31.44,Planted/Cultivated,0.56,0.56,1486.68,24.72,49.49,50.84
2105,C-326411,5928,OK,-95.6936,36.6279,Planted/Cultivated,1.43,1.43,1397.56,29.99,11.99,59.01
2106,C-300048,5929,MA,-70.8707,41.7845,Forested Upland,16.50,16.50,1442.20,2.91,85.25,46.99
2107,C-325745,5931,NM,-106.8052,36.4325,Shrubland,3.98,3.00,1358.08,31.06,27.60,73.04
2108,C-350916,5932,NC,-80.7449,36.155,Forested Upland,28.50,28.50,1442.79,41.53,29.10,54.33
2109,C-335446,5934,MT,-108.6121,46.4704,Shrubland,2.29,1.30,1380.86,39.00,34.67,74.57
2110,C-355965,5935,CA,-117.346,36.345,Barren,4.05,4.05,1359.52,13.55,58.32,84.05
2111,C-354809,5941,MI,-88.4759,46.1992,Forested Upland,4.64,4.64,1318.60,5.19,56.25,51.63
2112,C-314119,5944,LA,-89.872,30.1355,Forested Upland,17.20,17.20,812.40,56.13,33.05,56.28
2113,C-299970,5945,ME,-68.0902,45.3587,Forested Upland,12.60,12.60,1207.80,5.45,54.02,54.83
2114,C-318559,5947,WY,-110.3271,42.1643,Shrubland,2.06,0.70,1287.02,21.63,46.36,81.69
2115,C-364463,5948,PA,-80.1793,42.0307,Forested Upland,5.34,5.34,1443.37,15.07,35.06,52.58
2116,C-340130,5950,ND,-103.6146,47.3077,Herbaceous Upland,3.35,1.60,1277.07,20.02,41.67,75.60
2117,C-357350,5951,TX,-100.322,31.6549,Planted/Cultivated,3.20,1.50,1384.86,36.83,27.73,75.92
2118,C-354810,5953,MI,-84.1433,45.5525,Forested Upland,4.07,4.07,1434.98,12.00,63.20,59.39
2119,C-311179,5960,MO,-89.5345,37.1122,Developed,2.27,2.27,1443.53,20.58,3.83,55.13
2120,C-357351,5964,TX,-94.1676,31.5201,Forested Upland,0.83,0.83,1463.62,40.52,41.03,51.41
2121,C-335448,5966,MT,-115.9522,48.4395,Forested Upland,1.82,1.82,1276.08,8.63,29.85,61.00
2122,C-320390,5967,NV,-117.7163,39.6151,Shrubland,0.46,0.46,1277.59,19.43,35.99,84.69
2123,C-354812,5968,MI,-84.9759,42.6354,Developed,1.90,1.90,1545.56,19.79,47.42,62.00
2124,C-327713,5972,NM,-106.9619,31.7997,Shrubland,0.35,0.30,1355.97,43.46,39.70,82.54
2125,C-300996,5976,NE,-97.4448,41.1938,Planted/Cultivated,1.47,1.47,1342.66,34.13,10.47,63.35
2126,C-339496,5977,ND,-97.9825,48.8762,Planted/Cultivated,3.11,3.11,1316.96,30.85,47.95,75.05
2127,C-313316,5979,UT,-111.6241,39.5487,Planted/Cultivated,2.01,1.90,1267.48,28.00,33.46,82.00
2128,C-357352,5980,TX,-95.949,30.772,Planted/Cultivated,1.63,1.63,1529.34,24.00,53.26,56.20
2129,C-355966,5983,CA,-121.808,39.318,Herbaceous Upland,1.84,1.84,1415.35,38.69,22.15,73.06
2130,C-328015,5984,GA,-82.1995,32.6603,Developed,0.95,0.95,1539.10,18.36,69.12,51.73
2131,C-300480,5985,NY,-76.7435,43.2821,Planted/Cultivated,2.04,2.04,1383.13,22.30,27.24,58.00
2132,C-348524,5992,IA,-92.2813,42.7142,Planted/Cultivated,2.77,2.77,1480.66,27.70,31.09,59.88
2133,C-299999,5993,NH,-71.7544,43.7253,Forested Upland,8.72,8.72,1247.79,3.63,59.42,52.19
2134,C-310106,5995,KS,-101.4679,39.8155,Planted/Cultivated,4.21,4.21,1388.30,31.05,18.95,71.96
2135,C-353759,5996,TN,-83.5719,36.4998,Forested Upland,30.90,30.90,1362.72,31.01,24.06,51.33
2136,C-338272,6005,MN,-92.8506,48.4323,Forested Upland,28.70,28.70,1306.24,14.10,50.73,51.56
2137,C-326406,6008,OK,-97.9461,34.0145,Planted/Cultivated,1.11,1.11,1476.54,28.52,25.61,68.13
2138,C-318530,6011,WY,-110.6435,43.5108,Shrubland,6.66,6.66,1199.96,19.63,38.16,63.08
2139,C-341245,6012,PA,-79.5134,39.7459,Forested Upland,1.73,1.73,1361.99,21.18,34.95,44.48
2140,C-338712,6014,SD,-102.0853,45.5316,Planted/Cultivated,1.75,1.75,1338.62,27.00,31.18,75.14
2141,C-357354,6015,TX,-100.0371,33.4663,Herbaceous Upland,1.34,1.34,1453.19,35.61,20.14,79.09
2142,C-323424,6024,SD,-97.6717,44.0093,Herbaceous Upland,2.92,2.92,1384.20,28.84,29.81,71.34
2143,C-306807,6027,NE,-100.8592,42.9181,Herbaceous Upland,0.74,0.74,1345.81,4.00,89.65,73.89
2144,C-312492,6028,AR,-93.1894,34.5287,Developed,3.37,3.37,1366.15,18.67,33.29,54.80
2145,C-335227,6030,ID,-115.3699,46.3096,Forested Upland,2.98,2.98,1103.24,11.35,58.87,60.00
2146,C-355967,6031,CA,-120.053,37.836,Forested Upland,2.46,2.46,1277.19,11.47,55.50,60.56
2147,C-314183,6032,MS,-88.2721,34.0595,Developed,0.61,0.61,1425.09,30.45,27.12,50.37
2148,C-326072,6036,NM,-108.5839,32.838,Shrubland,0.38,0.38,1239.52,35.77,33.71,73.46
2149,C-311158,6040,MO,-94.595,38.6013,Planted/Cultivated,1.80,1.80,1365.68,37.67,4.00,61.00
2150,C-338273,6041,MN,-95.0542,45.0163,Planted/Cultivated,3.36,3.20,1182.13,31.57,18.68,66.54
2151,C-319614,6043,CO,-108.2732,39.3171,Shrubland,0.56,0.56,1368.15,23.89,46.11,80.01
2152,C-350672,6044,VA,-77.0816,37.7692,Herbaceous Upland,0.91,0.91,1378.89,20.22,59.31,52.77
2153,C-353280,6047,OR,-122.0907,42.6255,Forested Upland,3.52,3.40,1022.75,4.78,60.85,61.69
2154,C-328707,6048,FL,-81.4323,30.296,Herbaceous Upland,0.96,0.96,1047.44,2.99,75.86,55.28
2155,C-348660,6056,IL,-89.3313,41.3196,Forested Upland,5.69,3.80,1412.02,25.74,23.11,60.95
2156,C-319672,6059,CO,-103.6054,40.0876,Shrubland,0.63,0.63,1471.75,20.34,64.98,76.67
2157,C-350404,6060,KY,-86.3855,37.9877,Planted/Cultivated,0.95,0.95,1431.96,27.88,5.88,51.97
2158,C-335449,6062,MT,-112.7327,47.4101,Forested Upland,3.40,3.40,1245.96,17.59,38.94,61.54
2159,C-359127,6063,TX,-104.466,31.3942,Shrubland,1.34,0.40,1258.71,31.18,31.43,80.30
2160,C-352046,6068,NC,-76.321,35.8701,Forested Upland,14.00,14.00,1113.83,14.61,34.58,46.32
2161,C-351584,6071,AZ,-113.6916,33.3547,Shrubland,2.16,0.60,1437.45,37.76,42.01,83.00
2162,C-327831,6072,OK,-94.6522,34.3904,Forested Upland,1.41,1.41,1417.51,26.80,30.78,51.97
2163,C-354213,6074,WA,-122.856,46.0392,Herbaceous Upland,2.68,2.68,1110.07,7.39,59.99,54.25
2164,C-318483,6075,WY,-109.4999,42.1485,Shrubland,0.62,0.62,1329.62,29.32,43.73,84.46
2165,C-341246,6076,PA,-77.217,40.3709,Forested Upland,4.30,4.30,1476.54,20.20,32.94,55.32
2166,C-337990,6078,MT,-104.2346,46.7433,Herbaceous Upland,2.79,2.79,1322.06,28.00,27.95,79.00
2167,C-323415,6088,SD,-96.5613,44.8047,Herbaceous Upland,2.90,2.80,1121.79,27.15,35.33,71.09
2168,C-318604,6091,WY,-106.3174,44.7217,Herbaceous Upland,5.77,5.77,1380.11,28.75,27.22,76.00
2169,C-357355,6092,TX,-99.7893,29.839,Herbaceous Upland,4.38,4.38,1332.44,45.25,18.46,71.49
2170,C-355968,6095,CA,-119.1821,34.8547,Forested Upland,1.89,1.89,1421.29,19.02,50.11,67.00
2171,C-328048,6096,GA,-84.5338,32.2387,Planted/Cultivated,0.38,0.38,1630.35,15.32,69.39,54.51
2172,C-309885,6104,KS,-97.3198,37.7966,Herbaceous Upland,1.90,1.10,1424.11,29.06,17.30,67.00
2173,C-339105,6107,AZ,-111.3842,36.1603,Shrubland,2.30,2.30,1369.55,18.32,62.90,85.02
2174,C-352047,6108,NC,-77.5624,34.954,Planted/Cultivated,0.95,0.95,1430.38,32.88,33.25,49.99
2175,C-354214,6110,WA,-121.3984,48.6065,Forested Upland,4.16,4.16,889.56,4.00,69.33,53.00
2176,C-313212,6111,UT,-113.9318,38.7273,Shrubland,3.40,0.60,1224.81,18.82,43.75,82.00
2177,C-326066,6112,FL,-81.2743,26.4541,Planted/Cultivated,0.98,0.98,1339.15,2.58,76.43,58.82
2178,C-354813,6117,MI,-87.6838,46.7093,Forested Upland,3.75,3.75,1371.84,13.82,48.82,53.44
2179,C-355125,6120,WI,-89.153,42.9133,Planted/Cultivated,1.53,1.53,1361.94,25.15,14.67,57.33
2180,C-324005,6123,NM,-105.7356,36.477,Shrubland,2.39,1.50,1328.88,29.17,34.93,80.35
2181,C-352639,6124,TN,-87.2535,35.0173,Forested Upland,13.10,13.10,1344.50,20.91,27.33,51.74
2182,C-340206,6126,ND,-100.8196,48.4587,Herbaceous Upland,1.07,1.00,1424.97,6.17,80.45,75.00
2183,C-325742,6127,NM,-103.8474,33.4186,Shrubland,0.38,0.38,1438.99,21.24,62.12,78.53
2184,C-348837,6132,IL,-89.3165,39.5482,Planted/Cultivated,11.50,11.50,1443.66,23.79,7.21,59.66
2185,C-343200,6135,CA,-115.884,32.681,Barren,2.39,0.80,1456.57,9.37,80.92,83.00
2186,C-357356,6136,TX,-96.4315,32.7875,Planted/Cultivated,4.45,2.30,1444.85,38.99,32.58,67.70
2187,C-346641,6138,OR,-119.7152,43.685,Forested Upland,2.19,2.19,1111.86,20.74,45.04,71.62
2188,C-313211,6139,UT,-113.9665,41.6819,Shrubland,2.05,2.05,1282.60,14.81,32.86,79.96
2189,C-349968,6140,OH,-83.7015,39.3409,Herbaceous Upland,1.11,1.11,1466.69,31.27,11.38,57.48
2190,C-311273,6152,MO,-90.9896,37.7587,Developed,0.61,0.61,1415.22,20.40,24.81,60.13
2191,C-357357,6156,TX,-96.0616,31.244,Forested Upland,3.61,3.61,1472.91,12.43,67.68,53.57
2192,C-353282,6158,OR,-121.5576,44.2926,Forested Upland,0.58,0.58,1275.21,7.15,57.49,65.12
2193,C-320407,6159,NV,-114.0793,40.276,Shrubland,5.98,2.30,1252.69,15.22,53.44,81.28
2194,C-349970,6160,OH,-82.2517,41.1699,Developed,5.79,5.79,1518.30,23.99,28.95,57.48
2195,C-348974,6168,IA,-94.4244,43.0131,Planted/Cultivated,2.80,2.80,1344.66,35.14,25.66,68.00
2196,C-319554,6171,CO,-102.3796,40.4898,Herbaceous Upland,2.23,2.23,1353.53,12.49,67.11,73.32
2197,C-357358,6172,TX,-98.6368,30.2335,Planted/Cultivated,0.86,0.70,1391.08,39.91,23.53,70.40
2198,C-355969,6175,CA,-117.6953,34.3802,Forested Upland,1.83,1.83,1328.93,16.69,52.25,60.41
2199,C-328212,6176,GA,-83.9138,30.7233,Forested Upland,1.91,1.91,1491.05,12.00,76.70,51.15
2200,C-310306,6184,KS,-99.7473,37.1993,Herbaceous Upland,2.00,1.20,1423.04,19.32,44.54,76.00
2201,C-325786,6187,NM,-107.8392,36.1957,Shrubland,0.45,0.45,1437.97,32.31,51.97,82.98
2202,C-352048,6188,NC,-78.3496,34.0646,Herbaceous Upland,3.89,3.89,1325.69,15.68,56.48,48.23
2203,C-313234,6191,UT,-112.1097,37.8254,Shrubland,1.70,1.70,1291.97,28.08,33.08,78.27
2204,C-348677,6200,IL,-88.9006,42.2371,Planted/Cultivated,2.54,2.30,1353.86,21.13,32.63,60.00
2205,C-326152,6203,NM,-103.8584,36.9234,Shrubland,2.27,2.10,1321.41,28.44,38.62,77.82
2206,C-350405,6204,KY,-87.2209,37.0855,Planted/Cultivated,2.72,2.72,1439.91,22.63,9.00,55.45
2207,C-340200,6206,ND,-102.2056,47.2991,Planted/Cultivated,1.81,1.30,1401.49,22.67,44.83,70.70
2208,C-326128,6207,NM,-103.6882,34.4778,Forested Upland,0.66,0.60,1453.19,33.74,48.14,78.49
2209,C-311154,6216,MO,-92.005,36.5833,Planted/Cultivated,1.91,1.91,1424.39,20.62,22.09,53.31
2210,C-314192,6220,MS,-90.7361,33.4723,Planted/Cultivated,0.42,0.42,1423.01,23.61,7.12,58.09
2211,C-335450,6222,MT,-114.53,47.03,Forested Upland,4.66,4.66,1304.52,18.97,28.04,62.24
2212,C-320386,6223,NV,-115.7613,40.6241,Shrubland,5.63,5.63,1250.88,14.94,42.43,78.00
2213,C-349971,6224,OH,-81.7533,41.411,Forested Upland,5.80,5.80,1434.18,22.79,34.95,63.75
2214,C-326070,6228,NM,-108.3264,32.0782,Herbaceous Upland,0.66,0.50,1382.63,35.04,31.79,81.09
2215,C-348980,6232,IA,-94.7458,42.4478,Planted/Cultivated,2.59,1.90,1358.92,29.90,31.38,66.60
2216,C-338792,6233,ND,-98.463,46.5149,Planted/Cultivated,1.99,1.99,1302.77,27.00,33.27,72.97
2217,C-322894,6235,NE,-103.7377,42.5749,Herbaceous Upland,0.87,0.87,1295.07,12.75,68.23,72.00
2218,C-328932,6240,AL,-87.7096,30.6595,Developed,1.53,1.53,1473.82,18.79,62.22,49.38
2219,C-310110,6248,KS,-95.4715,37.2682,Herbaceous Upland,2.01,2.01,1382.61,32.12,14.70,63.67
2220,C-299991,6249,ME,-67.6184,45.0012,Forested Upland,1.89,1.89,1200.20,11.59,62.20,51.53
2221,C-319609,6251,CO,-102.5388,37.6433,Shrubland,2.17,1.10,1311.09,29.46,25.50,80.99
2222,C-352049,6252,NC,-81.5613,36.1431,Forested Upland,37.40,37.40,1280.93,19.04,54.51,50.83
2223,C-337991,6254,MT,-107.5929,45.9287,Planted/Cultivated,4.17,3.40,1359.66,33.33,24.17,79.59
2224,C-320363,6255,NV,-115.8704,38.296,Shrubland,0.31,0.31,1394.64,15.58,63.89,89.00
2225,C-354814,6261,MI,-87.4859,46.1242,Forested Upland,2.71,2.60,1398.34,5.07,63.04,57.92
2226,C-314026,6264,LA,-91.5374,29.5755,Planted/Cultivated,1.28,1.28,953.69,31.51,29.37,53.94
2227,C-335229,6267,ID,-112.0698,43.9989,Shrubland,0.79,0.79,1257.45,15.97,30.59,79.83
2228,C-320785,6268,WV,-80.8686,39.0075,Forested Upland,4.30,4.30,1331.46,22.00,22.92,50.54
2229,C-359128,6271,TX,-101.6462,32.837,Herbaceous Upland,1.59,1.40,1362.04,34.17,37.04,77.00
