ID,A_LabID,SiteID,StateID,Longitude,Latitude,Landcover,Tota_C,Organic_C,BD,Clay,Sand,pH
99,C-349935,272,OH,-81.6127,40.3139,Planted/Cultivated,11.80,11.40,1396.69,27.92,15.92,55.45
100,C-348966,280,IA,-95.742,43.0349,Planted/Cultivated,3.18,3.18,1342.87,33.79,16.51,65.87
101,C-322903,283,NE,-101.5264,41.5966,Herbaceous Upland,0.85,0.85,1424.33,7.43,85.12,77.18
102,C-357271,284,TX,-97.9222,29.8466,Planted/Cultivated,8.23,2.90,1423.21,42.63,22.41,70.80
103,C-355879,287,CA,-117.349,35.017,Shrubland,0.18,0.18,1455.08,15.61,71.59,83.17
104,C-328930,288,AL,-85.8788,31.2179,Planted/Cultivated,0.65,0.65,1569.29,23.85,61.42,54.16
105,C-310121,296,KS,-100.0069,37.3411,Planted/Cultivated,1.40,1.30,1420.78,29.10,26.97,73.40
106,C-299946,297,ME,-70.4324,43.7869,Forested Upland,3.80,3.80,1380.83,8.20,61.29,52.77
107,C-326083,299,NM,-108.5867,36.3617,Shrubland,0.20,0.20,1365.04,31.94,44.02,83.00
108,C-328453,300,SC,-79.4609,34.5338,Planted/Cultivated,0.62,0.62,1584.99,20.98,57.58,50.95
109,C-354160,302,WA,-120.181,48.3869,Shrubland,2.39,2.39,1224.31,16.16,45.32,65.52
110,C-313204,303,UT,-113.2444,38.1571,Shrubland,1.60,0.70,1260.65,24.16,33.04,84.93
111,C-355080,309,WI,-91.5581,45.7537,Forested Upland,1.72,1.72,1521.80,6.00,61.69,52.53
112,C-355081,312,WI,-89.4237,44.3508,Planted/Cultivated,1.26,1.26,1454.47,6.15,60.58,55.35
113,C-350372,316,KY,-86.6074,36.9057,Planted/Cultivated,5.68,5.68,1449.51,29.90,5.02,55.22
114,C-340109,318,ND,-102.1294,48.0748,Herbaceous Upland,4.42,4.42,1357.49,24.99,39.02,73.00
115,C-325748,319,NM,-105.1959,33.8761,Shrubland,1.71,0.80,1316.96,30.89,34.32,80.72
116,C-352626,328,TN,-89.053,35.5848,Planted/Cultivated,0.82,0.82,1458.74,17.32,8.02,56.66
117,C-314048,332,LA,-92.8034,31.1414,Forested Upland,0.51,0.51,1497.60,19.85,35.23,52.63
118,C-337084,334,MT,-114.5214,46.7793,Forested Upland,0.64,0.64,1196.95,6.30,47.27,61.00
119,C-320406,335,NV,-116.4885,40.8599,Planted/Cultivated,2.73,2.73,1256.96,17.73,33.41,85.67
120,C-354767,336,MI,-82.9077,42.9917,Herbaceous Upland,1.19,1.19,1516.35,22.77,37.75,69.36
121,C-300986,344,NE,-97.7964,42.0764,Herbaceous Upland,2.16,2.16,1334.52,22.00,20.27,72.85
122,C-323087,345,ND,-99.8157,46.2332,Herbaceous Upland,2.62,2.62,1283.23,24.67,50.80,73.24
123,C-318503,347,WY,-104.4789,42.4492,Herbaceous Upland,0.64,0.64,1352.55,11.94,77.00,78.28
124,C-355880,351,CA,-124.0546,41.569,Forested Upland,6.89,6.89,1036.51,24.48,29.11,51.82
125,C-314226,352,MS,-88.772,32.1645,Forested Upland,0.42,0.42,1446.35,17.89,43.74,51.02
126,C-326409,360,OK,-94.9279,36.7692,Planted/Cultivated,1.62,1.62,1382.35,28.07,14.53,60.07
127,C-300417,361,NY,-73.3779,42.4779,Planted/Cultivated,0.54,0.10,1341.49,13.15,38.48,57.48
128,C-342355,363,TX,-101.0378,36.2957,Planted/Cultivated,0.94,0.94,1401.12,37.64,11.95,75.00
129,C-350893,364,NC,-84.0331,35.2213,Forested Upland,37.50,37.50,1202.69,12.70,46.05,52.52
130,C-337085,366,MT,-108.5027,47.9291,Forested Upland,8.20,6.20,1260.17,16.16,50.52,66.97
131,C-320400,367,NV,-116.0592,38.8821,Planted/Cultivated,0.35,0.35,1257.15,17.81,46.22,82.94
132,C-355082,373,WI,-89.7925,45.4776,Forested Upland,2.91,2.91,1325.19,2.69,81.74,51.76
133,C-337067,376,OK,-97.3883,34.5704,Planted/Cultivated,1.05,1.05,1453.42,30.86,31.43,64.28
134,C-318542,379,WY,-110.3044,42.8591,Shrubland,1.99,1.00,1260.62,35.23,32.77,75.18
135,C-349936,380,OH,-81.795,39.6019,Forested Upland,4.90,4.90,1377.66,24.90,13.84,54.48
136,C-337087,382,MT,-106.5229,48.438,Herbaceous Upland,3.40,3.40,1353.41,22.98,55.09,74.70
137,C-342931,383,TX,-101.8519,34.3881,Planted/Cultivated,1.68,1.68,1439.79,38.91,29.23,74.14
138,C-359193,388,TX,-103.125,29.5276,Shrubland,5.30,0.80,1320.17,40.52,33.97,80.04
139,C-311175,392,MO,-91.1926,38.8811,Developed,1.16,1.16,1410.68,32.55,11.00,58.46
140,C-354161,398,WA,-120.5736,46.5567,Herbaceous Upland,2.06,2.06,1435.00,10.54,47.34,75.47
141,C-334780,399,ID,-115.9368,42.9154,Herbaceous Upland,0.31,0.31,1417.37,12.73,49.32,79.62
142,C-354769,400,MI,-85.2072,43.5017,Planted/Cultivated,0.88,0.88,1544.94,13.52,57.57,60.15
143,C-326076,404,NM,-106.5879,34.7589,Herbaceous Upland,1.19,1.10,1406.97,19.65,47.78,82.36
144,C-311237,408,MO,-94.6864,39.4669,Developed,1.31,1.31,1350.47,30.11,10.13,64.92
