A_LabID,SiteID,StateID,Latitude,Longitude,Landcover,Developed,Agriculture,As,Cd,Cr,Pb,Se,Zn,Fe,Mn
C-354249,12538,MO,36.7021,-91.1225,Forested,No,No,14.3,0.05,59,41.8,0.6,35,2.66,1490
C-354252,12686,PA,40.3873,-80.0337,Planted/Cultivated,No,Yes,14.3,0.5,64,41.1,0.7,140,4.18,1310
C-354248,12430,TX,29.6166,-98.7674,Forested,No,No,14.2,0.6,33,31.6,1,50,1.96,472
C-354247,12218,OH,40.7874,-81.9566,Developed,Yes,No,14.2,0.1,37,30.1,0.4,81,2.44,733
C-354246,12110,OH,39.336,-83.0427,Planted/Cultivated,No,Yes,14.2,0.4,44,27,0.8,94,2.65,596
C-354239,11662,AZ,33.9148,-111.3122,Shrubland,No,No,14.2,0.1,48,17.2,0.1,54,3.4,536
C-354242,11998,MT,47.7652,-108.6545,Shrubland,No,No,14.2,0.3,63,18.5,0.7,109,3.51,381
C-354241,11918,ME,45.0141,-68.9256,Forested,No,No,14.2,0.2,69,20.9,0.5,108,3.67,1560
C-354240,11706,CA,41.7351,-122.8065,Forested,No,No,14.2,0.6,90,21.2,0.7,285,4.77,1620
C-354235,10894,MT,46.6701,-106.9592,Herbaceous ,No,Yes,14.1,0.3,44,16.3,0.8,97,2.48,291
C-354233,10830,KS,37.988,-96.1589,Planted/Cultivated,No,Yes,14.1,0.2,51,25.5,0.4,83,4.48,872
C-354238,11310,WY,42.0949,-108.6237,Herbaceous ,No,Yes,14.1,0.5,55,24.7,0.5,91,3.24,541
C-354237,11038,SD,43.3563,-99.5879,Planted/Cultivated,No,Yes,14.1,1.1,60,17.1,2,112,3.09,891
C-354236,10938,NV,38.3564,-115.3965,Shrubland,No,No,14.1,0.6,75,16.4,1.6,118,2.69,477
C-354231,10638,LA,30.5356,-91.7148,Forested,No,No,14,0.3,35,18.4,0.1,52,1.35,307
C-354232,10682,WY,41.2399,-106.0807,Shrubland,No,No,14,8.6,40,12.3,6.7,163,1.65,126
C-354223,9614,CA,37.0768,-117.4565,Barren,No,No,13.9,0.4,19,18.8,0.1,70,2.16,523
C-354227,9950,MA,42.668,-71.514,Planted/Cultivated,No,Yes,13.9,0.1,22,32.9,0.3,28,1.1,329
C-354229,10170,MT,47.1085,-111.0007,Forested,No,No,13.9,0.4,34,16.5,0.4,61,1.56,357
N.S.,10382,NV,40.021,-116.3301,Shrubland,No,No,13.9,0.8,35,24.3,0.2,88,2.56,1080
C-354230,10526,WA,47.8453,-121.5052,Forested,No,No,13.9,0.2,39,20.7,0.3,85,3.65,886
C-354224,9870,KS,39.812,-95.0118,Herbaceous ,No,Yes,13.9,0.3,50,21.6,0.3,96,2.66,865
C-354226,9914,LA,29.7593,-90.0918,Developed,Yes,No,13.9,0.8,56,38,0.6,220,3.01,1800
C-354222,9518,AZ,33.3086,-111.2474,Shrubland,No,No,13.9,0.2,57,34.4,0.1,110,8.77,1900
C-354228,10014,MD,39.6505,-78.8318,Forested,No,No,13.9,0.05,64,17.1,0.3,76,4.06,122
