A_LabID,SiteID,StateID,Latitude,Longitude,LandCover,Al,As,Ba,Cd,Ce,Co,Cr,Cs,Cu,Fe,Hg,Li,Mg,Mn,Mo,Ni,Pb,Rb,Sb,Se,Sn,Zn
C-319636,6379,CO,38.1083,-104.6651,Herbaceous Upland,6.55,6.8,758,0.9,74.8,10.1,27,2.5,21.5,2.83,0.02,22,0.75,571,3,19.5,28.3,86.8,1.04,0.6,1.5,90
C-355872,2959,CA,37.7864,-119.8909,Forested Upland,8.81,3.4,869,0.05,50.3,13,23,2.5,13.2,3.9,0.02,28,1.26,768,1.35,13.4,11.9,70.1,0.16,0.1,1.4,90
C-351217,1552,IN,40.2075,-86.8382,Barren,4.33,8.2,565,0.3,58.7,10.9,42,2.5,16.3,1.95,0.17,19,0.37,1260,1.59,15.5,68.4,74.5,0.72,0.5,1.4,90
C-349937,636,OH,40.9034,-81.2993,Herbaceous Upland,4.09,13.6,304,0.2,57.2,9.4,41,2.5,21.2,2.87,0.04,29,0.43,628,1.58,20.1,28.7,58.1,0.57,0.5,1.4,90
C-341228,2620,PA,41.0839,-80.3889,Planted/Cultivated,3.73,12.8,277,0.2,54.6,8.1,34,2.5,18.1,2.76,0.03,24,0.29,501,1.55,18.2,24.2,54.3,0.65,0.4,1.4,90
C-338063,9790,MT,47.1482,-106.2779,Herbaceous Upland,4.39,40.4,1250,0.4,55.9,9.8,31,2.5,17.3,4.34,0.02,18,0.51,1090,2.33,21.6,19.6,67.1,2.84,0.7,1.1,90
C-337640,12526,MT,45.8632,-110.6821,Herbaceous Upland,7.47,8.7,1140,0.3,53.6,15.1,98,2.5,32.9,4.36,0.02,28,1.48,861,0.57,41,17,70,0.66,0.3,1.1,90
C-348971,11288,IA,43.4358,-94.6591,Planted/Cultivated,5.33,6.5,595,0.3,41.4,8.6,44,2.5,19.4,2.1,0.03,21,0.54,775,0.96,19,16.6,61.1,0.52,0.5,1,90
C-350401,5548,KY,38.1582,-84.5271,Developed,4.5,6.9,492,0.3,89.8,11.1,49,2.5,17,2.92,0.05,30,0.34,2230,0.64,20.1,38,96.8,0.17,0.4,0.9,90
C-300000,8692,CT,41.5578,-73.2432,Forested Upland,4.4,3.4,302,1,34.8,8.3,35,11,20.2,2.44,0.25,29,0.45,923,1.54,18.1,88.6,80,1.31,1.1,4.8,89
C-320489,12943,NV,41.6676,-114.9934,Shrubland,5.79,5.6,546,0.8,104,7.8,31,6,21.3,2.34,0.03,31,0.81,543,1.73,14.1,23.5,125,1.01,0.1,3.5,89
C-348666,4520,IL,40.9678,-88.0166,Planted/Cultivated,4.98,9.2,471,0.2,51.5,11.9,46,5,18.2,2.42,0.04,34,0.58,467,2.49,22.9,33.5,85.4,0.71,0.5,2.7,89
C-343413,8119,AZ,34.4796,-114.2055,Shrubland,7,6.8,688,0.3,109,18.8,76,7,36.5,4.6,0.02,33,1.56,795,1.08,31.1,28.6,110,1.19,0.1,2.4,89
C-320456,2527,NV,41.9105,-119.2135,Shrubland,7.47,5.5,502,0.5,99.8,17.1,22,2.5,25.3,2.66,0.03,27,0.39,1480,1.92,13.1,20.2,105,0.85,0.1,2.4,89
C-346647,9742,OR,44.498,-118.187,Shrubland,8.59,5.6,633,0.3,73.4,27,85,5,35.1,4.43,0.02,27,0.75,914,1.6,46.7,19.9,70.1,1.52,0.1,2.2,89
C-346635,6927,OR,42.6785,-117.6885,Herbaceous Upland,7.33,6.7,687,0.3,65.9,18.8,47,7,42.6,4.23,0.02,32,1.29,953,1.38,27.5,16.3,83.2,1.3,0.1,2.2,89
C-351259,9964,IN,38.683,-86.1402,Forested Upland,4.39,10.2,420,0.6,71.6,12.6,48,2.5,12.7,2.47,0.06,27,0.34,1290,1.44,23.4,22.1,70.5,0.76,0.6,2.2,89
C-334781,462,ID,44.8115,-113.9724,Shrubland,6.77,4.1,952,0.4,64.5,15.4,33,2.5,25.2,3.63,0.02,31,0.86,1290,1.21,14.8,15.4,94.5,0.63,0.1,2,89
C-350377,1452,KY,38.6004,-84.8998,Forested Upland,6.08,6.1,381,0.2,76,21.2,50,5,23.2,3.86,0.06,41,0.73,1270,0.44,27.3,18.5,129,0.48,0.4,2,89
C-351816,3284,AZ,34.1288,-109.7972,Forested Upland,6.39,8,587,0.2,72.6,37.9,192,6,37.4,5.81,0.03,36,0.86,1430,1.41,67.7,22.1,82.8,0.86,0.3,2,89
C-334823,1934,ID,46.3833,-115.2851,Forested Upland,7.1,2.7,794,0.2,57.9,10.4,46,2.5,15,3,0.03,40,0.9,716,0.74,16.2,27.4,81.8,0.23,0.2,2,89
C-311169,1864,MO,36.9353,-89.241,Planted/Cultivated,6.51,8.9,735,0.6,69.6,12.5,61,7,22.7,2.98,0.04,32,0.75,704,0.89,26,26.6,110,0.94,0.5,1.9,89
C-335201,7758,ID,46.4223,-115.8883,Forested Upland,7.83,5.7,824,0.05,83,14.7,57,2.5,28.4,4.2,0.03,42,0.77,904,0.98,26.7,19,97,0.58,0.1,1.8,89
C-313276,11579,UT,39.7406,-111.5094,Shrubland,6.35,5.9,743,0.5,74.3,10.4,44,7,24.7,3.02,0.03,44,0.91,915,1.05,16.1,29.6,97.2,0.88,0.2,1.8,89
C-348437,11534,OR,43.7996,-117.8769,Shrubland,8.22,4.4,738,0.3,54.1,20.8,57,2.5,45.2,4.61,0.02,25,0.94,1120,1.38,27.3,15.1,48.3,0.67,0.1,1.7,89
C-299975,6521,ME,47.1344,-67.9544,Planted/Cultivated,5.89,11.8,323,0.2,56.6,12.2,76,2.5,51,3.47,0.05,40,1.04,472,0.47,40.5,21.8,88.9,0.54,0.1,1.7,89
C-353266,10254,OR,44.4823,-122.0229,Forested Upland,9.51,1.5,310,0.05,39.9,28.4,93,2.5,48.2,6.01,0.04,10,2.6,950,0.98,61.2,5.9,11.9,0.15,0.3,1.7,89
C-354260,6542,WA,46.5257,-117.7661,Herbaceous Upland,6.65,6.1,586,0.2,66.1,17.1,45,5,21.9,4.03,0.02,23,0.88,814,0.67,21.4,15.6,65.8,0.74,0.1,1.6,89
C-354223,9614,WA,46.3225,-117.0436,Herbaceous Upland,7.16,5,645,0.2,66.4,16.6,45,5,23.2,4.23,0.02,25,1.06,856,0.95,21.6,15.9,60.8,0.66,0.1,1.6,89
C-346644,10766,OR,43.5913,-118.8207,Herbaceous Upland,7.31,5.2,610,0.3,58.9,11.5,41,2.5,28.8,3.23,0.01,23,0.79,897,1.54,20.6,12.2,44.4,0.59,0.1,1.6,89
C-351225,2832,IN,40.1845,-86.0017,Planted/Cultivated,4.09,10.1,422,0.4,48.2,9.9,37,2.5,14.9,2.4,0.04,18,0.43,835,2.04,17.7,25,62,0.68,0.4,1.6,89
C-353241,5023,OR,42.4664,-120.9927,Forested Upland,9.21,2.2,608,0.1,44.6,13.5,26,2.5,32.7,4.02,0.01,27,0.54,809,0.7,22.2,10.7,31.1,0.26,0.1,1.5,89
C-348797,13128,IL,37.3097,-89.4474,Planted/Cultivated,4.8,6.4,784,0.5,54.1,7.4,32,2.5,16.3,1.75,0.03,23,0.52,394,0.66,17.8,21.4,67.2,1.04,0.5,1.5,89
C-318535,10587,WY,41.5741,-105.652,Shrubland,5.71,5.1,701,0.9,65.8,9.1,48,2.5,18.2,2.26,0.01,22,0.69,441,1.84,21.1,21.2,95.8,0.92,0.8,1.4,89
C-343336,11800,IA,41.1434,-94.5607,Planted/Cultivated,5.38,11,727,0.4,62.9,14.1,50,5,21.2,2.77,0.04,25,0.52,917,1.19,22.9,28.7,86.3,1.25,0.7,1.4,89
C-348681,8168,IL,42.3644,-90.0343,Planted/Cultivated,4.91,7.1,587,0.3,62.1,12.1,46,2.5,18.1,2.18,0.04,24,0.87,895,0.84,18.6,29.1,73.8,1.9,0.3,1.4,89
C-348638,7848,IL,39.8751,-90.0942,Planted/Cultivated,4.68,7.9,602,0.3,61.3,9.1,37,2.5,18,2.12,0.03,19,0.37,878,0.78,16.4,23.9,80.6,0.73,0.7,1.1,89
C-311312,1032,MO,37.9373,-90.4681,Planted/Cultivated,3.57,9.6,447,1.3,56.1,19.3,40,2.5,41.5,2.45,0.09,19,1.4,1920,1.04,13.4,318,51.8,0.88,0.4,1.1,89
C-334838,3278,ID,44.0434,-114.7519,Forested Upland,3.55,2.1,646,0.7,35.4,4,26,6,10.6,1.16,0.01,35,0.59,622,0.32,11.6,15.5,67.7,0.4,0.1,1,89
C-353235,4346,OR,45.3393,-121.5712,Forested Upland,8.11,1.1,316,0.05,37.6,20.3,26,2.5,24.1,4.96,0.005,14,1.89,866,1.18,23.4,5.8,17.8,0.12,0.1,1,89
C-354251,12590,WA,48.7372,-119.6685,Planted/Cultivated,6.71,4,959,0.2,31.7,11.4,47,2.5,21.7,3.03,0.01,16,0.86,674,0.82,23.1,11.2,52.3,0.76,0.1,0.9,89
C-357392,5404,TX,28.7896,-98.9927,Shrubland,1.83,15.1,216,0.05,46.5,10,15,2.5,4.8,4.55,0.02,14,0.17,262,0.46,14,15.5,22.4,0.31,0.2,0.5,89
C-314066,4236,LA,32.0799,-93.3918,Developed,1.37,3.8,154,0.2,19.7,2.9,30,2.5,18.1,0.92,0.11,13,0.09,176,0.43,5,25.5,24.8,0.78,0.3,5.9,88
C-359174,11652,TX,30.6357,-103.8519,Non-Natural Woody,6.93,8.5,619,0.2,114,4.3,9,2.5,25.3,2.59,0.01,25,0.24,631,2.71,3.4,68.7,125,0.61,0.2,5.7,88
C-341250,7036,PA,40.2364,-79.1097,Forested Upland,3.46,23.4,208,0.2,48.3,6.8,49,2.5,17.8,2.49,0.21,21,0.18,1600,6.02,10.1,92.6,53.2,1.66,2.3,5.3,88
C-341223,1276,PA,41.1058,-76.1081,Forested Upland,2.88,7.9,313,0.8,48.9,10.2,28,2.5,14.6,1.33,0.27,32,0.2,2510,1.37,12.6,88.7,42.4,1.38,1.2,3.5,88
C-310111,12696,KS,39.084,-95.938,Herbaceous Upland,4.83,8.3,491,0.3,51.7,9.5,40,2.5,16.4,2.41,0.13,23,0.41,552,0.91,16.5,37,70.3,0.95,0.1,2.7,88
C-320349,8207,NV,40.7523,-115.1471,Shrubland,6.09,10.3,698,0.4,70.9,7.3,34,6,20.8,2.31,0.03,32,0.62,591,1.21,17.8,25.9,111,1.41,0.1,2.5,88
C-320770,1500,WV,38.1758,-82.1741,Herbaceous Upland,6.06,7.3,535,0.2,78.4,12.7,42,2.5,21.7,2.93,0.07,41,0.39,648,0.6,24,22.1,90.8,0.51,0.8,2.5,88
C-357631,10188,TX,30.2633,-99.4813,Herbaceous Upland,8.61,9.1,284,0.2,66.1,9.9,50,9,17,3.72,0.04,46,0.65,253,1.43,26.4,22.1,96.8,1.3,0.5,2.4,88
C-349973,6524,OH,40.0718,-81.2417,Developed,5.58,12,374,0.3,77.3,15.6,53,7,26.2,3.32,0.05,35,0.42,748,2.28,21.6,38.6,92.1,1.19,0.6,2.3,88
C-346646,526,OR,43.6723,-118.3382,Herbaceous Upland,7.27,8.1,478,0.4,66.2,16.5,39,5,38.2,4.04,0.02,26,0.74,965,2.01,22.5,17.2,51.5,1.02,0.1,2.1,88
C-326127,10132,NM,32.937,-108.6557,Shrubland,7.5,4.8,894,0.2,71.3,37.9,143,30,49.7,7.15,0.03,77,2.75,1250,1.17,87.7,7.7,75.2,0.74,0.1,2,88
C-313509,2619,UT,41.1821,-111.3737,Forested Upland,4.08,6.4,512,0.8,44,8.2,40,6,28.6,1.89,0.03,29,0.54,574,1.13,17.6,36.7,87.6,0.99,0.3,2,88
C-320495,8527,NV,40.3155,-116.7894,Shrubland,7.29,8.2,1040,0.8,76.5,11.1,34,7,28.4,2.77,0.03,40,0.81,814,1.43,15.3,28.7,111,2.34,0.1,1.9,88
C-318506,9966,WY,44.8064,-110.7308,Forested Upland,6.85,11.5,903,0.3,86.1,9.6,35,8,11.6,2.67,0.1,29,0.82,607,1.17,14.3,22.4,112,0.66,0.1,1.8,88
C-320408,6479,NV,40.021,-116.3301,Shrubland,6.37,13.9,1040,0.8,77,10.2,35,8,22.8,2.56,0.04,40,1,1080,1.67,18.9,24.3,108,2.99,0.2,1.8,88
C-328459,1580,SC,34.6008,-82.9886,Planted/Cultivated,7.72,6.3,332,0.1,94.9,12.2,47,2.5,34.5,3.34,0.08,28,0.25,798,1.65,24.2,33.6,70.4,0.34,0.7,1.7,88
C-318469,1483,WY,42.7606,-106.1335,Shrubland,5.25,9,589,0.6,61.5,7.6,50,6,19,2.43,0.03,29,0.68,500,1.8,16.7,23.3,85.6,0.74,0.6,1.7,88
C-300991,1560,NE,41.9695,-96.1636,Planted/Cultivated,5.34,20.6,797,0.6,56.8,11.4,44,6,21.8,2.57,0.04,26,0.94,737,1.19,21.8,22,94.6,1.23,0.7,1.6,88
C-338725,6334,SD,44.9645,-103.4371,Planted/Cultivated,5.94,16.6,756,0.2,62.4,12.7,47,7,20,3.03,0.02,38,0.88,557,1.94,23.2,20.5,66.2,1.01,0.6,1.6,88
C-348964,1304,IA,43.3001,-95.7426,Planted/Cultivated,6.28,8.7,758,0.4,63.6,13.9,57,5,25.8,2.67,0.03,26,0.77,965,1,26.4,22.5,84.6,0.88,0.6,1.6,88
C-313220,5883,UT,40.3389,-112.5366,Shrubland,4.83,16.2,390,0.7,67.5,9.7,44,7,22.3,2.26,0.02,36,0.71,564,1.74,23.8,19.8,101,1.05,0.5,1.6,88
C-353283,6239,OR,42.2943,-122.8376,Shrubland,7.84,39.9,637,0.2,45.3,23.1,87,2.5,59.2,4.4,0.03,26,1.38,1020,0.58,40,135,50.6,0.9,0.1,1.5,88
C-348823,11688,IL,39.7184,-88.4092,Planted/Cultivated,4.62,7.8,573,0.3,56.1,11.4,46,2.5,23.3,2.12,0.05,25,0.41,942,0.83,17.4,26.7,76.1,0.69,0.5,1.5,88
C-351219,1808,IN,39.5406,-85.5665,Planted/Cultivated,5.42,7.2,543,0.5,59.9,8.7,41,2.5,19.2,2.5,0.05,26,0.64,627,1.01,22.2,20.2,65.8,0.47,0.4,1.5,88
C-318539,10619,WY,42.5086,-110.5135,Shrubland,4.09,6.5,544,0.6,52.9,7.3,33,2.5,21.9,2,0.02,25,0.42,766,1.11,13.7,21.1,63.2,0.67,0.1,1.4,88
C-318533,1371,WY,42.1909,-106.1618,Herbaceous Upland,5.48,6.6,717,0.2,51.8,7.3,51,6,15.3,2.44,0.02,30,0.97,288,1.31,19.8,20.8,107,0.81,0.7,1.4,88
C-350695,476,VA,36.7516,-81.289,Forested Upland,4.67,4,657,0.2,54.6,21.9,36,2.5,16.5,4.22,0.11,27,0.58,2470,0.81,23.3,21.5,56.2,0.35,0.7,1.4,88
C-338698,5771,SD,44.0593,-102.7698,Herbaceous Upland,5.45,11.9,663,0.5,60.3,11.5,42,6,22.2,2.92,0.02,34,0.71,883,2.1,25.9,21,74.9,1.11,0.6,1.4,88
C-348827,4104,IL,38.506,-89.756,Planted/Cultivated,4.13,5.3,648,0.3,49.5,6,41,2.5,21,1.64,0.03,16,0.31,651,0.81,13.6,26.6,68.6,0.69,0.5,1.4,88
C-320763,8876,WV,38.1569,-82.1985,Forested Upland,4.51,7.6,542,0.2,91.8,18.8,35,2.5,14.1,1.71,0.06,34,0.2,2280,0.54,23.4,18.8,60.4,0.48,0.4,1.4,88
C-354242,11998,WA,48.6045,-119.5121,Developed,8.22,3.4,850,0.2,48.7,10.4,36,2.5,27.7,3.03,0.01,27,0.82,799,0.96,19,14.4,55.7,0.6,0.1,1.3,88
C-318497,6523,WY,42.3112,-110.4727,Shrubland,4,4.7,466,0.8,39.4,6.6,34,2.5,23.7,1.87,0.05,28,0.66,742,1.06,13.3,23.7,73.3,0.47,0.1,1.3,88
C-353202,1102,OR,44.8652,-119.076,Shrubland,7.32,1.9,522,0.1,27.3,31.4,161,2.5,76.9,6.06,0.01,11,2.15,992,0.64,52.2,5.6,21.2,0.28,0.1,1.3,88
