FIPS,LBC_Rate
48155,40.38
48157,25.8
48159,45
48161,43.6
48163,26.6
48165,26.5
48167,47.4
48171,28.5
48173,28.81
48175,34.9
48177,34.6
48181,50.7
48183,49.1
48185,47.3
48187,38.2
48191,43.28
48193,53.7
48197,41.52
48199,49.6
48201,33.8
48203,46.5
48207,38.8
48209,29.3
48213,56.2
48215,19.7
48217,43.1
48221,46
48223,47.9
48225,39.2
48227,44.3
48231,57
48235,33.8
48237,33
48239,43.3
48241,45.5
48245,46.2
48247,31.49
48249,26.2
48251,47.6
48253,40.7
48255,42
48257,53.3
48259,28.8
48261,31.9
48263,44.19
48265,37
48267,40.3
48269,38.14
48271,30
48273,33.1
48275,41.76
48277,58.6
48281,49.5
48283,27.96
48285,37
48287,47.1
48289,58.8
48291,64.5
48293,61
48297,44.1
48301,62.16
48307,37.5
48309,41.4
48311,33.45
48313,49.4
48315,54.1
48317,42.81
48321,39.4
48323,16.4
48325,35.3
48327,39.92
48329,35.9
48331,42.5
48333,37.18
48335,35.5
48337,59.7
48339,40.6
48343,69.2
48345,46.56
48347,47.4
48349,48.9
48351,37.1
48353,37.9
48355,34.3
48361,55.6
48363,54.7
48365,61
48367,47.5
48371,19.5
48373,76.5
48379,52.8
48383,35.88
48385,55.3
48387,53.3
48391,40.3
48395,47.4
48397,34.1
48399,44
48401,45.3
48403,62.3
48405,59.5
48407,53.7
48409,44
48411,37.29
48413,37.44
48415,54.3
48417,50.27
48419,62.3
48423,31.1
48425,42.3
48427,21.9
48429,54.7
48431,40.64
48433,49.34
48435,39.53
48439,38.7
48441,37
48445,40.4
48447,43.88
48449,40.1
48451,41.4
48453,27.6
48455,68.3
48457,42.5
48459,44.8
48461,42.39
48463,31.4
48465,25.2
48467,46.1
48469,39
48471,37.9
48473,38.6
48475,57.6
48477,32
48479,20.9
48481,34.4
48483,46.3
48485,51.4
48487,35
48489,25.7
48491,31
48493,29.2
48495,46.36
48497,54.1
48499,47.1
48501,32.51
48503,59.1
48505,27.18
48507,27.63
50007,36.5
50013,66.4
51001,61.5
51033,40.3
51036,34.5
51057,53.8
51073,60.7
51081,57.5
51085,46.1
51087,42.6
51093,33.4
51095,31.1
51097,60.6
51099,54.8
51101,39.5
51103,51.3
51115,42.2
51119,42.2
51127,51.8
51131,56.9
51133,34.9
51149,45.1
51159,54.3
51175,42.8
51181,59.6
51183,77.4
51193,55.8
51199,30
51510,23.5
51550,46.3
51570,54.2
51595,49.9
51650,46.5
51670,63
51700,53.7
51710,47.6
51730,64.4
51735,38
51740,56.3
51760,42.5
51800,41.4
51810,41
51830,30.2
53007,34.4
53009,39.8
53015,46.5
53027,52.4
53029,27
53033,29.8
53035,37.3
53049,45.5
53053,43.8
53055,28.4
53057,38.7
53061,38.9
53067,41.3
53069,37.82
53073,35.4
54005,77.8
54039,52.2
54045,70.1
54047,66.3
54059,73.5
54109,76.8
1001,54.2
1005,48.9
1007,54.2
1009,55.2
1011,66.6
1019,58.8
1021,49.8
1043,55.8
1047,51.5
1049,54.4
1051,53.1
1055,59.3
1057,58.6
1063,48.4
1065,47.5
1073,47.3
1075,66.2
1081,55.1
1085,49.5
1087,52.8
1093,51.4
1095,61.5
1101,42.2
1105,51
1107,46.7
1111,45.6
1113,55.8
1115,57.3
1117,34.6
1119,48.4
1125,46.5
1127,73.8
1133,49.4
4001,16.3
4003,38
4005,20.5
4007,35.5
4009,29.3
4011,42.4
4012,39.8
4013,32.3
4015,55
4017,26.5
4019,31.9
4021,30.5
4023,18.7
4025,35.3
4027,27.8
5005,56.5
5007,41.6
5009,58.9
5015,37.5
5049,68.9
5051,53.3
5063,54.9
5065,46.2
5089,55.3
5097,42.7
5121,61.4
5129,55
5135,61.3
5137,66.5
6001,28.5
6003,32.48
6005,41.8
6009,37.8
6013,30
6017,31.8
6019,31.4
6027,34.7
6029,34.7
6037,26.3
6039,32.2
6043,31.8
6051,22.23
6053,25.5
6057,27.9
6061,29.2
6063,41
6065,32.1
6069,26.7
6071,33.2
6075,28.8
6079,30.1
6081,24.1
6085,25.2
6087,24.8
6091,32.39
6107,31.9
6109,34.1
6115,54.9
8003,25.6
8007,23.6
8021,20.16
8023,20.29
8037,12.3
8053,21.44
8079,22.73
8105,22.3
8107,20
8109,21.16
8111,28.45
9005,35.1
9013,34.6
9015,47.3
10003,43.6
12001,38.7
12017,54
12023,69.1
12057,40.4
12073,37.4
12083,45.9
12086,26.8
12105,43.8
12125,134.7
13011,45.6
13013,60.5
13015,48.4
13035,62.7
13045,55.3
13047,47.7
13057,36.5
13059,35.8
13063,41.2
13077,41.1
13085,54.2
13097,45.9
13105,59
13111,42.5
13113,29.7
13115,50.1
13117,32.7
13119,53.8
13123,33.5
13133,40.1
13137,50.2
13139,40.8
13143,57.5
13145,34.7
13147,38.4
13149,65.5
13151,40.6
13157,57.3
13159,56
13171,43.4
13187,53.8
13195,56.1
13199,43.3
13207,40.1
13211,43.3
13217,52.1
13219,23.1
13221,47.1
13223,44.7
13227,51.6
13231,59.1
13241,50.5
13245,53.2
13247,35.9
13255,49.9
13257,58
13263,44.2
13281,52.8
13285,50.6
13291,43.6
13293,54.9
13295,61.4
13297,50.6
13311,50.2
13313,50.7
16001,32.8
16005,28.8
16007,21
16011,25
16019,22.7
16027,34.6
16029,22.96
16031,29.6
16041,14.01
16051,24.4
16053,26.8
16063,33.27
16065,13.39
16067,30.5
16071,16.96
16073,25.7
16075,40.6
16077,32
16081,20.89
16083,31.6
17005,37
17021,56.1
17023,50
17025,49.2
17027,40.3
17031,39.1
17033,62.8
17035,54.7
17043,33.3
17047,47.4
17049,38.1
17051,45.4
17055,73.5
17059,80.1
17065,59.9
17069,81.6
17077,50.3
17079,49.5
17081,45
17087,59.9
17091,57.1
17097,36.8
17101,59.5
17111,41.1
17117,53.3
17119,55.2
17121,59.2
17133,36.9
17135,63.2
17145,44.2
17151,50.5
17157,48
17159,62
17163,53
17165,66.4
17173,45.2
17181,63.7
17185,43.9
17189,40.5
17191,48
17193,68.2
17197,44.8
17199,57.7
18013,40.5
18021,68.5
18025,70.9
18027,48
18029,57.6
18037,32
18043,53.2
18047,45
18051,48.1
18055,64.4
18071,68.2
18073,49
18077,73.2
18083,54.2
18089,47.7
18091,51.9
18101,57.6
18109,59.8
18111,68.4
18115,62.7
18119,67.9
18121,54.3
18123,50.4
18125,56.9
18127,45.6
18129,53.3
18131,55
18137,53.7
18147,48.8
18149,77.4
18153,68.2
18155,47.7
18163,51.1
18167,60.7
18173,44
20001,51.3
20003,61.8
20007,56.1
20011,47.7
20015,53.1
20017,55.56
20019,51.8
20021,60.6
20025,40.76
20031,58.6
20033,52.88
20035,46
20037,63.7
20043,69.2
20047,45.77
20049,58.15
20059,61.6
20073,66.2
20077,46.8
20079,32.7
20087,43.5
20099,51.6
20107,42.2
20111,45.4
20121,47.1
20125,48.2
20127,32.9
20129,38.36
20133,63.6
20139,54.3
20155,45.9
20173,41.3
20175,23.3
20177,47.5
20185,40.18
20189,38.07
20191,42.9
20197,46.2
20205,67.6
20207,54.29
21005,61.8
21011,86.6
21013,74.1
21015,51.5
21019,61.8
21023,79.8
21025,97.3
21027,71.5
21031,58.9
21033,67.1
21037,53.9
21041,97
21043,64.2
21047,52.5
21051,88.5
21053,81.3
21055,79.4
21059,60.8
21061,70.1
21063,62.6
21065,79.3
21069,61.7
21071,83.8
21077,109.5
21079,71.9
21081,73.7
21085,76
21089,71.4
21091,66
21093,63.3
21095,96.9
21101,55.1
21103,56
21107,62.6
21109,73.6
21115,80.4
21117,55.1
21119,89.8
21121,100.8
21123,62.2
21125,78.6
21127,80.3
21129,76
21131,108.6
21133,80.9
21135,88.1
21139,60.6
21141,61.5
21143,66
21147,98.6
21149,71.1
21151,63.1
21153,70.8
21159,86.6
21161,85.7
21163,64.9
21165,92.3
21173,74.9
21175,74.1
21177,68.6
21181,84.1
21183,76.3
21185,44.2
21187,54.9
21189,105.8
21193,101
21195,79.3
21197,105.8
21203,79.4
21205,72.7
21211,60.9
21213,66
21215,41.8
21219,62.8
21221,58.8
21223,92.5
21225,75.3
21229,62.8
21231,68.3
21233,61.4
21235,102.4
21237,79.6
23013,46.4
23023,46.7
23027,43.7
23029,62.6
24001,46.9
24003,42.7
24015,61
24017,37.9
24023,28.8
24033,33.5
24037,51.7
24510,57.2
25001,34.9
25003,42.8
25005,43.5
25007,29.8
25011,43
25013,41.9
25015,36.1
25019,33.8
25021,37.7
25023,40.6
26001,51.8
26003,43.9
26007,50.2
26009,36.5
26013,50.1
26015,43.5
26029,44
26037,33.5
26043,44.8
26045,39.7
26047,46.7
26049,51.1
26053,47.4
26061,42.4
26065,38.9
26067,53.1
26071,37.7
26081,38.6
26083,38.99
26087,50.6
26089,33.1
26093,36.3
26103,50.3
26109,39.3
26115,52.2
26117,50.7
26119,55.7
26125,36.2
26137,52
26141,45.2
26151,46
26155,54.9
27001,51.4
27003,46.6
27007,42.1
27009,38.4
27017,38.7
27021,48.9
27025,40.3
27029,56.9
27031,46.4
27035,41
27059,42.6
27061,45.3
27071,42.1
27075,34.5
27077,45.2
27095,44.2
27097,42.1
27115,46.6
27137,44.2
28003,55
28017,54.1
28025,56.2
28081,68.1
28087,54
28103,54.8
28115,53.1
28145,58
29001,54.1
29007,70.1
29009,51
29011,50.1
29013,52.5
29015,73.1
29017,58.1
29019,38.3
29025,63.5
29027,50
29029,48
29031,48.1
29033,54.4
29035,64.1
29039,60.9
29041,67.8
29043,44.7
29045,52.3
29051,39
29053,44.9
29055,67.8
29057,52.9
29059,55
29061,52.5
29063,59
29065,59.6
29067,42.7
29071,49.8
29073,42.1
29075,35.1
29077,44.3
29079,37.6
29081,55.6
29083,67.1
29085,55.1
29089,35.2
29091,62.7
29097,59.1
29099,60.5
29101,47.2
29103,53.48
29105,62.6
29107,56.1
29109,51.8
29111,53.4
29113,54.7
29115,49.7
29117,49.4
29119,73.9
29121,56.1
29123,82.8
29125,44.9
29127,52.1
29129,75.1
29131,63.6
29135,50.4
29137,49.6
29139,63.7
29141,65.4
29145,52
29149,51
29151,31.6
29153,62.7
29157,46.2
29159,54.2
29161,50
29163,52.9
29167,46.3
29169,58.1
29171,53
29173,68.4
29175,58.8
29177,59.8
29179,53.1
29181,71.4
29183,45.8
29185,51.8
29186,50.8
29187,79.3
29189,41.9
29195,49.5
29197,58.4
29199,52.83
29203,49.5
29205,41.9
29209,43.6
29211,39.2
29213,46.6
29215,49.7
29217,58.7
29219,54.8
29221,77.8
29223,69.2
29225,48.1
29227,44.79
29229,48.7
29510,57.4
30037,38.3
30065,61.4
30069,42
30097,32.4
30103,45.08
30107,34.87
31003,31.3
31007,30.17
31013,26.6
31019,31.2
31029,41.84
31033,31.3
31041,30.9
31045,32.9
31047,41
31049,37.7
31057,36.95
31079,40.4
31093,39.17
31101,31.9
31103,34.07
31105,49.8
31121,49.2
31123,46.3
31135,38
31157,33.1
31161,53.1
31163,38.83
31165,29.07
31175,48.8
32001,60.3
32007,37.1
32009,50.36
32013,42.1
32023,60.1
32029,28.87
32031,37.4
33001,43.9
33005,36.5
33007,44.6
33009,38
33011,42
33013,41.8
33015,43.6
33017,51.8
33019,45.4
34003,29.9
34005,39.3
34007,43.5
34011,46.5
34013,32.5
34015,49.6
34017,30
34023,31.7
34031,29.6
34033,55.6
34039,29.8
35003,23.01
35005,40.4
35006,27.8
35009,38.3
35011,33.68
35013,30.4
35015,38.5
35017,27.2
35019,28.32
35021,22.75
35023,28.75
35025,42.8
35027,28.6
35028,16.5
35029,47.2
35031,12.3
35035,38
35037,40.8
35041,33.1
35043,25.3
35045,26.4
35051,49.1
35053,26
35057,29.6
35059,36.18
35061,36
36019,48.1
36045,56.5
36049,40.7
36055,39.9
36057,44.9
36063,52.2
36065,46.4
36073,52.5
36075,55.8
36089,49.3
36091,47
36093,42
36117,50.9
37001,46.4
37003,45.3
37009,46.9
37011,34.2
37023,50.5
37027,58.8
37033,61.7
37035,47.2
37043,34.7
37045,53.7
37067,47.5
37069,51.9
37071,58.4
37075,60.1
37087,44.8
37097,46.5
37099,39.1
37109,49.6
37111,53.8
37113,45.3
37115,52.8
37149,33.7
37161,48.3
37169,53.8
37171,58.1
37173,46.5
37181,55.9
37183,32.9
37185,49.1
37193,54.1
37197,57.1
37199,49.7
39007,58.9
39009,52.9
39015,74.5
39025,53.4
39035,45.2
39039,50
39043,46
39051,41.9
39053,64.8
39055,30.2
39069,44.8
39071,54.1
39073,55.4
39079,68.2
39085,47.3
39087,62.1
39093,50.4
39095,50.6
39099,46.6
39103,37.9
39105,61.4
39111,45.6
39115,44.8
39121,36.4
39123,44.6
39125,52.9
39133,46.6
39137,34.8
39143,50.2
39145,61.6
39155,50.7
39163,70.2
39167,56.2
39171,47.1
39173,42.6
40001,56.1
40007,37.42
40021,53
40025,43.85
40041,49.6
40045,45.22
40097,66.4
40135,66.9
40139,32.2
41001,50.5
41007,46.8
41009,48.2
41013,37.3
41021,32.32
41023,25.9
41025,33.7
41027,36
41031,44.4
41035,41.3
41037,36.1
41045,38.5
41049,31.9
41051,38.3
41055,40.4
41059,42.4
41061,35.3
41065,43.3
41067,28.9
41069,35.92
41071,41.3
42021,39.5
42039,45.9
42047,37.6
42049,47.9
42051,52.1
42053,53.2
42059,47.6
42065,40.5
42073,47.1
42083,48.9
42085,39
42103,43.1
42105,50.5
42111,34.8
42123,48.6
42125,49.4
42127,44.8
