ID,x,y,xm,ym,DIVISION_NAME,DISTRICT_NAME,Land_type,pH,SOM,DEM,NDFI,NDVI
4150,88.54641035,25.13496208,353469.206,2780681.658,RAJSHAHI,NAOGAON,Highland,5.4,1.2,40.2244072,-0.203281283,0.450285882
4151,88.55785058,25.13099605,354617.9124,2780230.025,RAJSHAHI,NAOGAON,Highland,5,1.7,35.52036667,-0.21150063,0.446259528
4152,88.53601217,24.8354625,352062.7916,2747522.888,RAJSHAHI,NAOGAON,Highland,5.1,1.1,27.42689133,-0.228067085,0.441525787
4153,88.47853649,24.4340073,345761.7105,2703125.774,RAJSHAHI,RAJSHAHI,Highland,6,0.9,17.02546501,-0.245775491,0.455280364
4154,88.55361074,24.87475324,353887.5717,2751855.337,RAJSHAHI,NAOGAON,Highland,4.7,1.1,25.53867722,-0.129983872,0.45456934
4155,88.60924483,25.14436917,359814.8733,2781656.705,RAJSHAHI,NAOGAON,Highland,4.4,0.7,39.10160446,-0.242723212,0.436963826
4156,88.71673569,24.95747541,370454.6127,2760851.269,RAJSHAHI,NAOGAON,Highland,5.3,1.7,20.23881721,-0.172390252,0.491266251
4157,88.35855986,24.63400929,333860.5339,2725415.253,RAJSHAHI,CHAPAI,Highland,4.2,1.6,37.61683655,-0.245827734,0.457830667
4158,88.61272515,24.94951081,359944.4677,2760072.479,RAJSHAHI,NAOGAON,Highland,5.5,1.9,18.30350304,-0.201109037,0.460441113
4159,88.71636264,25.11629625,370583.7432,2778440.571,RAJSHAHI,NAOGAON,Highland,5.2,1.3,25.31583977,-0.139830515,0.451264411
4160,88.38451926,24.90335358,336840.97,2755215.045,RAJSHAHI,CHAPAI,Medium Lowland,6.3,1.3,30.244133,-0.000836774,0.417178512
4161,88.72037341,25.12505806,370997.354,2779407.085,RAJSHAHI,NAOGAON,Highland,5.4,1.8,26.89412308,-0.110529676,0.459525138
4162,88.73695415,25.11886677,372662.661,2778705.661,RAJSHAHI,NAOGAON,Highland,5.6,2,25.02772331,-0.198403224,0.488925159
4163,88.51040162,24.67294203,349278.461,2729551.87,RAJSHAHI,RAJSHAHI,Highland,4.6,1.7,26.9847126,-0.161424518,0.491915345
4164,88.35102743,24.77367753,333284.1068,2740893.231,RAJSHAHI,CHAPAI,Highland,6.2,1.8,31.20929337,-0.202018067,0.456930667
4165,88.4351378,24.5561268,341514.6457,2716699.349,RAJSHAHI,RAJSHAHI,Highland,5.9,0.9,40.88671112,-0.246081293,0.424559534
4166,88.56306141,25.11044294,355119.0429,2777948.103,RAJSHAHI,NAOGAON,Highland,4.9,1.6,40.24664307,-0.247290969,0.440507382
4167,88.42303342,24.56715306,340302.5153,2717934.479,RAJSHAHI,RAJSHAHI,Highland,6.1,1.4,33.64518738,-0.229516774,0.409679145
4168,88.70658707,25.097817,369578.457,2776403.435,RAJSHAHI,NAOGAON,Highland,5.4,1.8,24.83819771,-0.139518067,0.472814739
4169,88.67152168,24.83078309,365752.7759,2746864.464,RAJSHAHI,NAOGAON,Highland,5.2,0.8,18.48374748,-0.136161298,0.475226998
4170,88.44879127,24.87215156,343293.9317,2751683.75,RAJSHAHI,CHAPAI,Highland,5.5,0.9,45.89293289,-0.256438047,0.426051527
4171,88.34439829,24.45344443,332186.7983,2705434.473,RAJSHAHI,RAJSHAHI,Highland,6.2,0.9,22.52698517,-0.148149684,0.439900637
4172,88.56589169,24.5995779,354809.0876,2721367.267,RAJSHAHI,RAJSHAHI,Highland,6.2,1.1,22.29816437,-0.136490315,0.510774851
4173,88.48205105,24.78522765,346547.2934,2742018.943,RAJSHAHI,NAOGAON,Highland,4.2,1.3,29.51021576,-0.177592903,0.449820846
4174,88.52134515,24.84751464,350594.9383,2748873.657,RAJSHAHI,NAOGAON,Highland,4.3,1.4,29.17913246,-0.230138719,0.433534384
4175,88.52646476,24.57169038,350783.8307,2718320.997,RAJSHAHI,RAJSHAHI,Highland,4.7,1.4,23.30898094,-0.12564452,0.479149699
