"DIVISION_NAME","DISTRICT_NAME","UPAZILA_NAME","POVERTY_PERCENT","DIVISION_NAME 2","DIVISION_PCODE","DISTRICT_NAME 2","DISTRICT_PCODE","UPAZILA_NMAE","UPAZILA_PCODE","ADM3_PCODE"
"Dhaka","Gopalganj","Gopalganj Sadar",41.1,"Dhaka","BD30","Gopalganj","BD3035","Gopalganj Sadar","BD303532","BD303532"
"Dhaka","Gopalganj","Kashiani",39.1,"Dhaka","BD30","Gopalganj","BD3035","Kashiani","BD303543","BD303543"
"Dhaka","Gopalganj","Kotalipara",43.6,"Dhaka","BD30","Gopalganj","BD3035","Kotali Para","","BD303551"
"Dhaka","Gopalganj","Muksudpur",46.5,"Dhaka","BD30","Gopalganj","BD3035","Muksudpur","BD303558","BD303558"
"Dhaka","Gopalganj","Tungipara",42.6,"Dhaka","BD30","Gopalganj","BD3035","Tungi Para","","BD303591"
"Sylhet","Habiganj","Ajmiriganj",32.6,"Sylhet","BD60","Habiganj","BD6036","Ajmiriganj","BD603602","BD603602"
"Sylhet","Habiganj","Bahubal",24.1,"Sylhet","BD60","Habiganj","BD6036","Bahubal","BD603605","BD603605"
"Sylhet","Habiganj","Baniachong",27.6,"Sylhet","BD60","Habiganj","BD6036","Baniachong","BD603611","BD603611"
"Sylhet","Habiganj","Chunarughat",27.5,"Sylhet","BD60","Habiganj","BD6036","Chunarughat","BD603626","BD603626"
"Sylhet","Habiganj","Habiganj Sadar",16.9,"Sylhet","BD60","Habiganj","BD6036","Habiganj Sadar","BD603644","BD603644"
"Sylhet","Habiganj","Lakhai",25.2,"Sylhet","BD60","Habiganj","BD6036","Lakhai","BD603668","BD603668"
"Sylhet","Habiganj","Madhabpur",25.9,"Sylhet","BD60","Habiganj","BD6036","Madhabpur","BD603671","BD603671"
"Sylhet","Habiganj","Nabiganj",26.8,"Sylhet","BD60","Habiganj","BD6036","Nabiganj","BD603677","BD603677"
"Dhaka","Jamalpur","Bakshiganj",50.4,"Dhaka","BD30","Jamalpur","BD4539","Bakshiganj","BD453907","BD453907"
"Dhaka","Jamalpur","Dewanganj",58.5,"Dhaka","BD30","Jamalpur","BD4539","Dewanganj","BD453915","BD453915"
"Dhaka","Jamalpur","Islampur",55,"Dhaka","BD30","Jamalpur","BD4539","Islampur","BD453929","BD453929"
"Dhaka","Jamalpur","Jamalpur Sadar",49.8,"Dhaka","BD30","Jamalpur","BD4539","Jamalpur Sadar","BD453936","BD453936"
"Dhaka","Jamalpur","Madarganj",55.5,"Dhaka","BD30","Jamalpur","BD4539","Madarganj","BD453958","BD453958"
"Dhaka","Jamalpur","Melandaha",47.2,"Dhaka","BD30","Jamalpur","BD4539","Melandaha","BD453961","BD453961"
"Dhaka","Jamalpur","Sarishabari Upazila",44.7,"Dhaka","BD30","Jamalpur","BD4539","Sarishabari","BD453985","BD453985"
"Khulna","Jessore","Abhaynagar",36,"Khulna","BD40","Jessore","BD4041","Abhaynagar","BD404104","BD404104"
"Khulna","Jessore","Bagher Para",42.5,"Khulna","BD40","Jessore","BD4041","Bagher Para","BD404109","BD404109"
"Khulna","Jessore","Chaugachha",42.8,"Khulna","BD40","Jessore","BD4041","Chaugachha","BD404111","BD404111"
"Khulna","Jessore","Jessore Sadar",35.3,"Khulna","BD40","Jessore","BD4041","Jessore Sadar","","BD404147"
"Khulna","Jessore","Jhikargachha",38.9,"Khulna","BD40","Jessore","BD4041","Jhikargachha","BD404123","BD404123"
"Khulna","Jessore","Keshabpur",42,"Khulna","BD40","Jessore","BD4041","Keshabpur","BD404138","BD404138"
"Khulna","Jessore","Manirampur",40.2,"Khulna","BD40","Jessore","BD4041","Manirampur","BD404161","BD404161"
"Khulna","Jessore","Sharsha",40.8,"Khulna","BD40","Jessore","BD4041","Sharsha","BD404190","BD404190"
"Barisal","Jhalokati","Jhalokati Sadar",37.7,"Barisal","BD10","Jhalokati","BD1042","Jhalokati Sadar","BD104240","BD104240"
"Barisal","Jhalokati","Kanthalia",34.2,"Barisal","BD10","Jhalokati","BD1042","Kanthalia","BD104243","BD104243"
"Barisal","Jhalokati","Nalchity",46.5,"Barisal","BD10","Jhalokati","BD1042","Nalchity","BD104273","BD104273"
"Barisal","Jhalokati","Rajapur",42,"Barisal","BD10","Jhalokati","BD1042","Rajapur","BD104284","BD104284"
"Khulna","Jhenaidah","Harinakunda",26,"Khulna","BD40","Jhenaidah","BD4044","Harinakunda","BD404414","BD404414"
"Khulna","Jhenaidah","Jhenaidah Sadar",23.9,"Khulna","BD40","Jhenaidah","BD4044","Jhenaidah Sadar","BD404419","BD404419"
"Khulna","Jhenaidah","Kaliganj",24,"Khulna","BD40","Jhenaidah","BD4044","Kaliganj","BD303334","BD303334"
"Khulna","Jhenaidah","Kotchandpur",20.2,"Khulna","BD40","Jhenaidah","BD4044","Kotchandpur","BD404442","BD404442"
"Khulna","Jhenaidah","Maheshpur",23.6,"Khulna","BD40","Jhenaidah","BD4044","Maheshpur","BD404471","BD404471"
"Khulna","Jhenaidah","Shailkupa",28.2,"Khulna","BD40","Jhenaidah","BD4044","Shailkupa","BD404480","BD404480"
"Rajshahi","Joypurhat","Akkelpur",26.9,"Rajshahi","BD50","Joypurhat","BD5038","Akkelpur","BD503813","BD503813"
"Rajshahi","Joypurhat","Joypurhat Sadar",26,"Rajshahi","BD50","Joypurhat","BD5038","Joypurhat Sadar","BD503847","BD503847"
"Rajshahi","Joypurhat","Kalai",25.6,"Rajshahi","BD50","Joypurhat","BD5038","Kalai","BD503858","BD503858"
