UPAZILA_NAME,UPAZILA_PCODE,DISTRICT_PCODE
Senbagh,BD207580,BD2075
Senbagh,BD207580,BD2075
Sonaimuri,BD207583,BD2075
Subarnachar,BD207585,BD2075
Atgharia,BD507605,BD5076
Bera,BD507616,BD5076
Bhangura,BD507619,BD5076
Chatmohar,BD507622,BD5076
Faridpur,BD507633,BD5076
Ishwardi,BD507639,BD5076
Pabna Sadar,BD507655,BD5076
Santhia,BD507672,BD5076
Sujanagar,BD507683,BD5076
Atwari,BD557704,BD5577
Boda,BD557725,BD5577
Debiganj,BD557734,BD5577
Panchagarh Sadar,BD557773,BD5577
Tentulia,BD557790,BD5577
Bauphal,BD107838,BD1078
Dashmina,BD107852,BD1078
Dumki,BD107855,BD1078
Galachipa,BD107857,BD1078
Kala Para,BD107866,BD1078
Mirzaganj,BD107876,BD1078
Patuakhali Sadar,BD107895,BD1078
Bhandaria,BD107914,BD1079
Kawkhali,BD107947,BD1079
Mathbaria,BD107958,BD1079
Nazirpur,BD107976,BD1079
Nesarabad (Swarupkati),BD107987,BD1079
Pirojpur Sadar,BD107980,BD1079
Zianagar,BD107990,BD1079
Balia Kandi,BD308207,BD3082
Goalandaghat,BD308229,BD3082
Kalukhali,BD308247,BD3082
Pangsha,BD308273,BD3082
Rajbari Sadar,BD308276,BD3082
Bagha,BD508110,BD5081
Baghmara,BD508112,BD5081
Boalia,BD508122,BD5081
Charghat,BD508125,BD5081
Durgapur,BD457218,BD5081
Godagari,BD508134,BD5081
Matihar,BD508140,BD5081
Mohanpur,BD508153,BD5081
Paba,BD508172,BD5081
Puthia,BD508182,BD5081
Rajpara,BD508185,BD5081
Shah Makhdum,BD508190,BD5081
Tanore,BD508194,BD5081
Barkal,BD208421,BD2084
Barkal,BD208421,BD2084
Belai Chhari,BD208429,BD2084
Jurai Chhari,BD208447,BD2084
Kaptai,BD208436,BD2084
Kawkhali (Betbunia),BD208425,BD2084
Langadu,BD208458,BD2084
Naniarchar,BD208475,BD2084
Rajasthali,BD208478,BD2084
Rangamati Sadar,BD208487,BD2084
Badarganj,BD558503,BD5585
Gangachara,BD558527,BD5585
Kaunia,BD558542,BD5585
Mitha Pukur,BD558558,BD5585
Pirgachha,BD558573,BD5585
Pirganj,BD558576,BD5585
Rangpur Sadar,BD558549,BD5585
Taraganj,BD558592,BD5585
Assasuni,BD408704,BD4087
Debhata,BD408725,BD4087
Kalaroa,BD408743,BD4087
Kaliganj,BD303334,BD4087
Satkhira Sadar,BD408782,BD4087
Shyamnagar,BD408786,BD4087
Tala,BD408790,BD4087
Bhedarganj,BD308614,BD3086
Damudya,BD308625,BD3086
Gosairhat,BD308636,BD3086
Naria,BD308665,BD3086
Shariatpur Sadar,BD308669,BD3086
Zanjira,BD308694,BD3086
Jhenaigati,BD458937,BD4589
Nakla,BD458967,BD4589
Nalitabari,BD458970,BD4589
Sherpur Sadar,BD458988,BD4589
Sreebardi,BD458990,BD4589
Belkuchi,BD508811,BD5088
Chauhali,BD508827,BD5088
Kamarkhanda,BD508844,BD5088
Kazipur,BD508850,BD5088
Royganj,BD508861,BD5088
Shahjadpur,BD508867,BD5088
Sirajganj Sadar,BD508878,BD5088
Tarash,BD508889,BD5088
Ullah Para,BD508894,BD5088
Bishwambarpur,BD609018,BD6090
Chhatak,BD609023,BD6090
Dakshin Sunamganj,BD609027,BD6090
Derai,BD609029,BD6090
Dharampasha,BD609032,BD6090
Dowarabazar,BD609033,BD6090
Jagannathpur,BD609047,BD6090
Jamalganj,BD609050,BD6090
Sulla,BD609086,BD6090
Sunamganj Sadar,BD609089,BD6090
Tahirpur,BD609092,BD6090
Balaganj,BD609108,BD6091
Beani Bazar,BD609117,BD6091
Bishwanath,BD609120,BD6091
Companiganj,BD207521,BD6091
Dakshin Surma,BD609131,BD6091
Fenchuganj,BD609135,BD6091
Gopalganj Sadar,BD303532,BD6091
