ID,YEAR,YID,Longitude,Latitude,x,y,Grain_As,Grain_iAs,Straw_As,TF,logTF,WAs,WP,WP_WAs,WFe,WFe_WAs,WEc,WpH,WMg,WNa,WCa,WK,WS,SAs,SPAs,SAoAs,SAoFe,AoFe_AoAs,LogAoFe_AoAs,SpH,SEc,SOC,SAND,SILT,CLAY,SP,ELEV,Year_Irrig,DIS_STW,Variety,Land_type,Soil_As_Class,WFe_WAs,WP_WAs,PER_SPAs,PER_AoAs,LTID
127,YEAR_01,A134,89.2513,22.7944,2666282.823,559796.0742,0.147,0.116,1.6,0.092,-1.037,0.016,0.318,19.9,2.35,146.9,0.56,7.01,16.2,15.3,85,3.1,1.913,9.7,1.65,5.7,2170,380.7,2.6,7.46,0.435,1.57,12.3,47.6,40.1,15.1,4,8,8,Purbachi,HL,Low,146.88,0.05,17.01,58.76,1
233,YEAR_02,B074,89.2709,22.7077,2668240.071,550179.6623,0.306,0.221,10,0.031,-1.514,0.033,0.48,14.5,4.83,146.4,1.527,7.13,36.1,187,171.8,3.7,4.318,10.6,2.109,5.46,1840,337,2.5,8.43,1.322,0.54,10.4,60.1,29.5,13.62,7,5,10,BR28,MHL,Low,146.36,0.07,19.9,51.51,2
69,YEAR_01,A070,89.1924,22.8057,2660240.071,561079.6623,0.422,0.297,8.7,0.049,-1.314,0.054,0.851,15.8,7.55,139.8,0.9,6.67,38.4,28.1,121.7,6.6,0.985,11.3,2.645,5.728,2510,438.2,2.6,8.47,0.924,1.17,11.2,45.6,43.2,17.35,7,3,5,Minikate,HL,Low,139.81,0.06,23.41,50.69,1
9,YEAR_01,A009,89.1193,22.7506,2652689.8,555022,0.544,0.377,28.1,0.019,-1.713,0.065,0.639,9.8,8.99,138.3,1.57,6.82,48.2,96.1,159.6,6.5,1.521,19.2,4.785,10.069,2150,213.5,2.3,8,1.219,1.41,12.6,44.9,42.4,15.72,3,8,10,IET,MHL,High,138.31,0.1,24.92,52.44,2
146,YEAR_01,A153,89.2483,22.7824,2665969.9,558465.6,0.386,0.273,9.1,0.042,-1.372,0.021,0.85,40.5,2.82,134.3,0.49,6.98,13.8,11.1,76.3,1.4,0.89,10.23,1.6,5.141,2990,581.6,2.8,7.79,0.499,1.41,15.5,48.7,35.8,13.72,4,6,5,IET,HL,Low,134.29,0.02,15.64,50.25,1
8,YEAR_01,A008,89.1236,22.7345,2653122.753,553234.0851,0.432,0.303,19.1,0.023,-1.646,0.064,0.89,13.9,8.14,127.2,1.74,6.98,51.5,127,163.2,6.4,1.562,31.6,8.63,19,2140,112.6,2.1,7.89,1.385,1.69,13.7,40.8,45.5,14.84,3,10,8,BR28,MHL,High,127.19,0.07,27.31,60.13,2
219,YEAR_02,B060,89.2435,22.788,2665478.8,559087,0.339,0.242,6.9,0.049,-1.309,0.019,0.49,25.8,2.39,125.8,0.623,7.34,17.1,33,80,3.3,0.804,7.8,1.428,4.59,3380,736.4,2.9,7.94,0.511,1.07,13.7,43.4,42.9,19.78,5,11,10,Purbachi,HL,Low,125.79,0.04,18.31,58.85,1
232,YEAR_02,B073,89.2825,22.7101,2669438.475,550436.8497,0.211,0.158,10,0.021,-1.676,0.036,0.36,10,4.5,125,3.17,7.12,76,470,175,8.8,28.186,12.9,3.125,8.15,2830,347.2,2.5,8.17,1.497,1.03,7.9,50.1,42,17.29,9,3,45,BR28,HL,Low,125,0.1,24.22,63.18,1
145,YEAR_01,A152,89.2436,22.7948,2665492.939,559836.9806,0.125,0.102,0.9,0.139,-0.857,0.021,0.489,23.3,2.61,124.3,0.56,6.91,20.2,14.4,80.2,5.4,1.02,6.7,1.75,2.2,2980,1354.5,3.1,7.77,0.453,1.34,11.7,51.9,36.4,13.89,5,3,8,Purbachi,HL,Low,124.29,0.04,26.12,32.84,1
3,YEAR_01,A003,89.1281,22.7499,2653600.5,554942.3,0.26,0.19,6.6,0.039,-1.405,0.079,1.317,16.7,9.7,122.8,1.4,6.84,40.5,89.4,133.9,6,2.307,23.2,5.869,12.266,2160,176.1,2.2,8.03,1.257,1.36,12.3,46.4,41.3,15.54,4,10,5,IET,MHL,High,122.78,0.06,25.3,52.87,2
253,YEAR_02,B095,89.2729,22.7274,2668462.6,552357,0.266,0.194,6.6,0.04,-1.395,0.068,1.18,17.4,8.09,119,4.08,7.04,104.4,466,232.3,12.9,22.78,18.6,4.164,14.27,2930,205.3,2.3,8.27,1.563,0.82,7.4,64.7,27.9,13.51,4,1,5,Purbachi,MHL,High,118.97,0.06,22.39,76.72,2
191,YEAR_02,B032,89.1203,22.8143,2652840.071,562079.6623,0.294,0.213,4.8,0.061,-1.213,0.074,0.69,9.3,8.68,117.3,1.116,6.9,35.6,54,136.3,5.2,2.71,17,3.261,9.42,3820,405.5,2.6,8.07,0.798,1.4,12.5,25.4,62.1,5.46,4,8,10,Minikate,HL,High,117.3,0.11,19.18,55.41,1
130,YEAR_01,A137,89.2662,22.761,2667795,556084.7,0.094,0.081,1,0.094,-1.027,0.02,0.791,39.6,2.31,115.5,0.47,6.77,16.8,8.9,69.2,3.3,0.546,8.3,1.832,4.7,2800,595.7,2.8,7.43,0.886,1.34,11.4,51.6,37,14.26,7,8,6,Purbachi,HL,Low,115.5,0.03,22.07,56.63,1
94,YEAR_01,A101,89.1251,22.8158,2653338,562248.1,0.363,0.258,9.7,0.037,-1.427,0.059,0.758,12.8,6.76,114.6,1.06,6.8,40,46.5,134.9,5,4.668,12.36,3.45,6.311,2650,419.9,2.6,7.5,0.907,1.57,12.3,47.6,40.1,15.1,4,12,5,Minikate,HL,Low,114.58,0.08,27.91,51.06,1
108,YEAR_01,A115,89.1496,22.7373,2655794.781,553532.3621,0.402,0.284,17.7,0.023,-1.644,0.083,0.804,9.7,9.47,114.1,1.76,6.87,56.9,155.1,179.6,8.2,1.447,17.2,5.6,8.97,2710,302.1,2.5,8.11,1.49,1.58,13.3,41.7,45,15.34,3,1,5,BR28,MHL,High,114.1,0.1,32.56,52.15,2
143,YEAR_01,A150,89.2652,22.7854,2667712.4,558783.2003,0.189,0.144,2.5,0.076,-1.121,0.035,0.756,21.6,3.9,111.4,0.5,6.84,15.2,16.3,74.4,2,0.588,9.5,1.85,6,2910,485,2.7,7.48,0.556,1.39,11.8,52.2,36,14.27,5,4,10,Purbachi,HL,Low,111.43,0.05,19.47,63.16,1
182,YEAR_02,B023,89.111,22.7567,2651848.9,555710,0.385,0.272,9.5,0.041,-1.392,0.097,1.45,14.9,10.7,110.3,2.03,6.9,46.5,237.6,188.5,6.1,4.258,33.2,6.913,18.22,3930,215.7,2.3,8.03,1.095,0.98,9.6,25,65.4,25.72,4,9,15,BR28,MHL,High,110.31,0.07,20.82,54.88,2
7,YEAR_01,A007,89.1278,22.7302,2653550.801,552764.127,0.462,0.323,23.5,0.02,-1.706,0.075,0.868,11.6,7.81,104.1,1.71,6.86,50.1,110.5,172,5.9,2.792,26.3,6.708,13.969,2520,180.4,2.3,7.66,1.428,1.71,16.8,43.4,39.8,13.26,2,8,10,BR28,MHL,High,104.13,0.09,25.51,53.11,2
256,YEAR_02,B098,89.2897,22.7352,2670192.446,553217.7878,0.384,0.272,10.1,0.038,-1.42,0.04,0.99,24.8,4.16,104,1.338,7.09,32,191,127.2,3.8,1.014,13.4,3.32,5.23,1670,319.3,2.5,8.18,1.184,1.2,9.1,37.5,53.4,8.33,5,4,10,Minikate,HL,Low,104,0.04,24.78,39.03,1
226,YEAR_02,B067,89.2063,22.7629,2661640.459,556326.7906,0.144,0.114,6.6,0.022,-1.661,0.075,0.94,12.5,7.56,100.8,1.032,6.93,31.5,114,127,4.9,1.042,17,3.649,12.63,3220,254.9,2.4,8.33,1.465,1.05,5.4,48.4,46.2,9.73,4,9,12,IET,HL,High,100.8,0.08,21.46,74.29,1
126,YEAR_01,A133,89.2629,22.8051,2667482.748,560972.6124,0.229,0.17,5.1,0.045,-1.348,0.042,0.993,23.6,4.23,100.7,0.54,6.9,16.1,15.6,81.3,2.5,0.839,11.4,2.672,6.49,2230,343.6,2.5,7.48,0.569,1.41,11.1,51.7,37.2,13.88,6,7,22,Ratna,HL,Low,100.71,0.04,23.44,56.93,1
72,YEAR_01,A079,89.1049,22.7694,2651226.1,557118,0.41,0.289,6.7,0.061,-1.213,0.05,1.06,21.2,4.97,99.4,1.54,6.71,36,78.8,157,5,5.133,26.7,7.87,15.5,2250,145.2,2.2,8.09,0.809,1.67,12.1,42,45.9,17.69,3,12,8,Minikate,MHL,High,99.4,0.05,29.48,58.05,2
100,YEAR_01,A107,89.1936,22.6763,2660279.3,546746,0.285,0.207,14.1,0.02,-1.694,0.089,0.764,8.6,8.73,98.1,2.4,6.93,56.5,298.1,215.4,7.6,1.733,21.9,5.517,12.6,2700,214.3,2.3,6.54,1.787,1.71,16.8,43.4,39.8,13.26,2,10,5,BR28,MHL,High,98.09,0.12,25.19,57.53,2
217,YEAR_02,B058,89.2577,22.7861,2666935.175,558867.7503,0.176,0.135,6.7,0.026,-1.581,0.037,0.89,24.1,3.57,96.5,0.602,7.21,17.9,10.1,84,2.8,0.653,6.8,2.061,4.28,3510,820.1,2.9,7.97,0.45,0.9,17.5,41.3,41.2,9.51,5,10,10,Ratna,HL,Low,96.49,0.04,30.31,62.94,1
37,YEAR_01,A038,89.1598,22.7247,2656840.1,552126.8,0.404,0.285,22.5,0.018,-1.746,0.078,1.269,16.3,7.39,94.7,2.09,6.95,57.8,208.3,183.9,8.2,2.509,21.2,3.15,10.2,2380,233.3,2.4,8.18,1.688,1.49,13.2,42.4,44.4,14.46,2,11,5,BR28,MHL,High,94.74,0.06,14.86,48.11,2
259,YEAR_02,B101,89.2926,22.7524,2670498.821,555122.5376,0.232,0.172,5.5,0.042,-1.375,0.041,1.51,36.8,3.82,93.2,2.69,7.09,61.5,342.7,205.2,6.3,1.616,11.5,2.892,4.95,4680,945.5,3,8.03,1.563,1.38,7.7,36.4,55.9,6.92,5,3,10,IET,HL,Low,93.17,0.03,25.15,43.04,1
181,YEAR_02,B022,89.1137,22.7571,2652129,555753.6,0.238,0.176,9.1,0.026,-1.582,0.121,1.17,9.7,10.71,88.5,0.9,6.92,37.9,37,150.7,6,1.35,16.7,4.907,10.73,2340,218.1,2.3,8.17,1.059,1.35,9.1,55.5,35.4,22.68,6,3,10,Purbachi,MHL,High,88.51,0.1,29.38,64.25,2
110,YEAR_01,A117,89.1699,22.7257,2657877.8,552233.6,0.249,0.183,10.9,0.023,-1.641,0.106,1.045,9.9,9.35,88.2,2.03,6.78,54,232.2,175.2,8.8,1.432,23.3,7.2,12.321,2720,220.8,2.3,8.1,1.682,1.67,12.4,41.6,46,16.48,2,1,4,IET,MHL,High,88.21,0.1,30.9,52.88,2
38,YEAR_01,A039,89.1317,22.7464,2653967.8,554552.1,0.289,0.209,6.1,0.047,-1.324,0.073,1.769,24.2,6.41,87.8,2.9,6.88,69.3,499,218,14.8,11.33,12.4,3.45,6.333,2380,375.8,2.6,8.06,1.247,1.46,11.6,47,41.4,16.62,4,1,10,Ratna,MHL,Low,87.81,0.04,27.82,51.07,2
113,YEAR_01,A120,89.1722,22.7677,2658140.071,556879.6623,0.097,0.083,1.6,0.061,-1.217,0.079,1.037,13.1,6.9,87.3,3.57,6.75,91.6,415,274,14.7,41.295,16.4,3.15,12.84,2740,213.4,2.3,8.38,1.413,1.25,10.2,48.7,41.2,16.99,6,1,5,Purbachi,HL,High,87.34,0.08,19.21,78.29,1
254,YEAR_02,B096,89.2778,22.7258,2668968.5,552182,0.309,0.222,7.3,0.042,-1.373,0.052,0.85,16.3,4.53,87.1,3.3,7.11,77.4,439.9,191,9.7,23.453,17.8,3.12,6.67,1780,266.9,2.4,8.43,1.557,0.6,17.1,57.5,25.4,8.22,5,15,10,IET,MHL,High,87.12,0.06,17.53,37.47,2
85,YEAR_01,A092,89.1478,22.7755,2655642.3,557759.9,0.224,0.167,6.6,0.034,-1.469,0.082,1.603,19.5,7.12,86.8,0.64,7.01,20.3,15.4,84.5,3.1,0.706,15.9,4.94,8.256,2610,316.1,2.5,7.86,1.063,1.41,12.9,45.9,41.2,14.54,3,5,5,Purbachi,MHL,High,86.83,0.05,31.07,51.92,2
56,YEAR_01,A057,89.1385,22.7514,2654668.2,555104.3,0.346,0.247,17.9,0.019,-1.714,0.114,1.334,11.7,9.76,85.6,1.67,6.85,48.3,98.8,197.3,6.6,1.658,20.1,7.1,7,2150,307.1,2.5,8.17,1.225,1.59,12.4,44.1,43.5,15.85,2,7,5,IET,MHL,High,85.61,0.09,35.32,34.83,2
173,YEAR_02,B014,89.1339,22.7622,2654198.5,556301,0.163,0.127,10,0.016,-1.788,0.052,0.92,17.7,4.4,84.6,1.539,7.03,37.8,159.4,133.7,6.1,2.771,16.2,3.078,6.45,3290,510.1,2.7,8.27,0.961,1.27,8.3,29.2,62.5,5.03,4,4,10,IET,MHL,High,84.62,0.06,19,39.81,2
87,YEAR_01,A094,89.1413,22.7812,2654977.1,558404.2,0.32,0.23,11.9,0.027,-1.57,0.083,1.387,16.7,7,84.3,0.72,6.86,23.4,31.5,94,3.9,0.836,15.8,3.2,4.7,2080,442.6,2.6,8.01,0.882,1.62,13.8,41.8,44.4,14.73,2,4,5,BR28,MHL,High,84.34,0.06,20.25,29.75,2
107,YEAR_01,A114,89.1537,22.7209,2656203.7,551711.1,0.351,0.25,11.6,0.03,-1.519,0.079,1.074,13.6,6.66,84.3,1.08,6.86,32.4,62.1,126.5,4.9,1.868,24.1,6.74,14,2300,164.3,2.2,7.97,1.646,1.71,9.5,40.8,49.7,15.78,2,15,15,BR28,MHL,High,84.3,0.07,27.97,58.09,2
2,YEAR_01,A002,89.1232,22.7576,2653102.8,555798.6,0.395,0.279,12.3,0.032,-1.493,0.059,1.194,20.2,4.93,83.6,1.07,7.06,34.1,74.6,94.3,5.7,2.826,45.1,10.7,21.9,2670,121.9,2.1,7.87,1.021,1.26,11.1,48.7,40.2,15.31,5,20,6,Minikate,MHL,High,83.56,0.05,23.73,48.56,2
134,YEAR_01,A141,89.2648,22.7887,2667668.5,559153.8,0.369,0.262,9.5,0.039,-1.411,0.024,0.874,36.4,1.98,82.5,0.39,6.94,11,11.1,57.5,1.7,0.437,8.5,1.886,4.19,2820,673,2.8,7.9,0.539,1.24,10.4,49.7,39.9,15.97,6,2,15,IET,HL,Low,82.5,0.03,22.19,49.29,1
124,YEAR_01,A131,89.2491,22.8029,2666062.258,560732.5791,0.177,0.136,3.4,0.052,-1.284,0.048,1.27,26.4,3.91,81.5,0.51,6.92,18.1,17.1,70.4,3.1,0.55,16,3.04,10.1,2800,277.2,2.4,7.51,0.442,1.39,11.8,52.2,36,14.27,5,2,5,Ratna,HL,High,81.46,0.04,19,63.13,1
147,YEAR_01,A154,89.2688,22.7203,2668040.071,551579.6623,0.374,0.265,9.5,0.039,-1.405,0.081,1.372,16.9,6.56,81,0.61,6.84,20.7,12.8,94.7,2.8,0.765,12.3,3.96,8.7,3040,349.4,2.5,7.83,1.37,1.23,11.8,49.6,38.6,14.3,5,3,4,IET,HL,Low,80.99,0.06,32.2,70.73,1
184,YEAR_02,B025,89.0985,22.7801,2650575.977,558308.2258,0.292,0.211,12.3,0.024,-1.625,0.099,1.05,10.6,7.87,79.5,0.844,6.92,22.9,48.7,117.6,4,1.176,22.6,6.653,15.94,3220,202,2.3,8.23,0.756,1.35,13.7,17.5,68.8,17.05,3,11,5,Minikate,MHL,High,79.49,0.09,29.44,70.53,2
80,YEAR_01,A087,89.1483,22.7454,2655673.826,554434.7175,0.246,0.181,4.3,0.057,-1.243,0.059,1.238,21,4.68,79.3,2.13,7.03,53.8,278.5,148.3,8.1,7.668,21.7,7.2,12.3,2590,210.6,2.3,8.5,1.402,1.33,12,46.9,41.1,14.81,2,12,4,Minikate,MHL,High,79.32,0.05,33.18,56.68,2
141,YEAR_01,A148,89.2523,22.752,2666361.051,555098.2995,0.239,0.177,6.2,0.039,-1.414,0.101,0.992,9.8,7.92,78.4,2.79,6.58,79.2,342,307,8.8,25.032,18.6,2.88,12,2880,240,2.4,7.97,0.919,1.15,11.5,46.8,41.6,16.42,5,8,5,Purbachi,HL,High,78.42,0.1,15.48,64.52,1
74,YEAR_01,A081,89.1295,22.7664,2653754.3,556768.1,0.322,0.231,9.2,0.035,-1.456,0.08,0.937,11.7,6.25,78.1,0.74,6.72,21.8,19.8,111,3.4,1.01,23.8,4.31,11,2570,233.6,2.4,8.15,0.828,1.31,12,46.7,41.4,15.06,4,8,5,IET,MHL,High,78.13,0.09,18.11,46.22,2
231,YEAR_02,B072,89.2776,22.7167,2668935.8,551166.4331,0.244,0.18,7.3,0.033,-1.476,0.071,0.9,12.7,5.36,75.5,2.34,7.15,70.3,287,159.3,11.1,12.7,19.5,4.034,10.56,2520,238.6,2.4,8.18,1.516,0.85,10.8,49.2,40,20.64,2,2,10,Ratna,HL,High,75.49,0.08,20.69,54.15,1
244,YEAR_02,B086,89.1724,22.6907,2658106.6,548349,0.203,0.153,11.2,0.018,-1.742,0.077,0.76,9.9,5.81,75.5,2.48,7.06,53.3,288.6,172.4,9.6,14.002,17,5.245,12.01,2290,190.7,2.3,8.25,1.66,1.48,12.5,55.5,32,15.02,4,18,10,Purbachi,MHL,High,75.45,0.1,30.85,70.65,2
183,YEAR_02,B024,89.109,22.7591,2651640.071,555979.6623,0.179,0.137,8.1,0.022,-1.656,0.115,1.12,9.7,8.65,75.2,0.891,6.94,32.9,35,125.4,4,1.14,19.1,3.071,8.18,3460,423,2.6,8.17,1.017,1.48,10.7,38.4,50.9,4.7,4,4,10,BR28,MHL,High,75.22,0.1,16.08,42.83,2
60,YEAR_01,A061,89.1895,22.7771,2659927.1,557914.6,0.317,0.228,8.9,0.036,-1.448,0.129,1.694,13.1,9.54,74,1.52,6.84,44,164.6,116.2,8.1,1.017,11.2,1.85,1.39,2460,1769.8,3.2,8.51,1.278,1.27,9.9,49.1,41.1,14.72,4,8,5,BR28,HL,Low,73.95,0.08,16.52,12.41,1
